company,change,confidence,why
Kalshi,no_ai_change,0.95,Neither description mentions AI/ML. Only minor wording refinements.
Scarlet,repackaged_to_ai,0.85,Pivoted from generic secure deployment platform to specialized medical device AI certification
WireMock,no_ai_change,0.95,Neither description mentions AI/ML. Focus remains API mocking.
ReTargeter,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Tether,added_ai_feature,0.85,Core EV-to-grid offering unchanged; AI coordination added to describe execution method
Explo,repackaged_to_ai,0.85,Pivoted from GenZ travel content platform to AI-driven publishing software suite
Swiftly,repackaged_to_ai,0.85,Core pivot from deal distribution tool to AI-driven unified platform with agents
SYNQ3 Restaurant Solutions,repackaged_to_ai,0.85,Core pivot from order processing to conversational AI-driven ordering automation
Extra Technology,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
Haylon Technologies,no_ai_change,0.95,Identical descriptions; no AI/ML mentioned in either version
Linearity,no_ai_change,0.95,Neither description mentions AI/ML. Product expanded but remains design-focused.
EVVELAND,repackaged_to_ai,0.75,Pivoted from physical NFT venues to digital metaverse with AI tools core
Blobr,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
Single Technologies,no_ai_change,0.95,Identical descriptions; no AI/ML mentioned in either version
Ark IT Solutions,no_ai_change,0.99,Descriptions are identical; no AI mentioned in either version.
Amity,repackaged_to_ai,0.75,Pivoted from social platform company to AI-focused holding company with portfolio
MongoDB,added_ai_feature,0.85,Vector search for AI added; core database business unchanged since 2021
Graphic SEO,no_ai_change,0.99,Descriptions are identical; no AI mentioned in either version.
IrisCX,no_ai_change,0.95,Identical descriptions; no AI/ML mentioned in either version
iPivot,no_ai_change,0.95,Neither description mentions AI/ML. Cloud platforms added but core offering unchanged.
"Lucid Drone Technologies, Inc.",added_ai_feature,0.85,Both describe same spraying/cleaning drones; no AI/ML mentioned either time
Formulate,repackaged_to_ai,0.85,Pivoted from consumer products to AI-driven chemistry platform and manufacturing orchestration
Spectra Imaging,no_ai_change,0.99,Descriptions identical; no AI mentioned in either version.
Sagri,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
Aleria,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
EarthDaily Analytics,added_ai_feature,0.75,Core satellite imagery/analytics unchanged; predictive modelling added as capability
MeiG Smart,no_ai_change,0.95,Descriptions are identical; no AI/ML mentioned in either version
Actiview,born_ai,0.95,ML explicitly core to product in both descriptions; no change detected
Stardog,no_ai_change,0.95,Descriptions are identical; no AI/ML mentioned in either version
ADPM Drones,no_ai_change,0.95,Descriptions are identical; no AI/ML mentioned in either version
Finity,born_ai,0.95,"AI was core in 2021; descriptions identical, no change detected"
RetailZoom,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version.
NDR Medical,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
NIRLAB,added_ai_feature,0.85,NIR spectroscopy core unchanged; ML/AI added to enhance analysis capabilities
Excellent Web World,repackaged_to_ai,0.85,Pivoted from web/Drupal dev to AI-first enterprise software solutions
Hometapper,no_ai_change,0.95,Descriptions are identical; AI/ML core to both versions
inSegment,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Olewave,born_ai,0.95,ASR/TTS core in 2021; now emphasizes datasets and AI model training
Badhouse Ventures,no_ai_change,0.95,"AI mentioned in both descriptions as investment area, not core offering"
N-Smart,repackaged_to_ai,0.85,Pivoted from generic IoT platform to AI-driven utility grid optimization solution
Laserfiche,no_ai_change,0.95,Descriptions are identical; AI/ML mentioned in both equally
Kion,repackaged_to_ai,0.85,Core pivot from cloud governance to AI-driven FinOps platform with proactive optimization
ReDev,repackaged_to_ai,0.85,Pivoted from social hiring platform to AI-driven recruitment with assessment tools
Postscript,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version.
Spare,added_ai_feature,0.75,Core offering (transit platform) unchanged; AI/algorithms now emphasized in marketing
Eliyan,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
8i,born_ai,0.95,AI/ML core to product in both descriptions; no meaningful change detected
Advanced Training Athletic Club,born_ai,0.95,"AI was core in 2021; descriptions are identical, no change detected."
NexLabs,repackaged_to_ai,0.85,Pivoted from digital content/VoIP to defense autonomous systems with AI-enabled platforms
I.Divine,no_ai_change,0.95,Identical descriptions; no AI/ML mentioned in either version
Paro,born_ai,0.95,"AI was core in 2021, remains core now. Description simplified but AI still featured."
Linguistic Search Solutions,no_ai_change,0.95,Descriptions identical; no AI/ML terminology in either version
InLine-Med,born_ai,0.95,AI was core to product in 2021; descriptions are nearly identical
BuildBetter,born_ai,0.85,Signal Engine (2021) → AI-driven analysis (now). Core AI capability consistent.
TEKRiSQ,no_ai_change,0.95,Neither description mentions AI/ML. Focus remains process streamlining.
Gravyty,no_ai_change,0.95,Identical descriptions; no AI/ML mentioned in either version
Ottometric,no_ai_change,0.95,Descriptions are identical; no change detected between 2021 and now
Culturelike,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version.
Unreal Capital,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
Tsunagaru Edutech,no_ai_change,0.95,Neither description mentions AI/ML. Complete pivot from e-learning to incubator.
Daily Food,born_ai,0.95,AI described as core in both 2021 and current; descriptions identical
Denote,no_ai_change,0.95,Identical descriptions; no AI/ML mentioned in either version
Edify,added_ai_feature,0.85,"AI/ML added as feature to existing contact center platform, not core pivot"
DH Technologies,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
VisiFish,born_ai,0.85,Machine Vision (AI) was core in 2021; Vision AI remains central now
ProRankTracker,added_ai_feature,0.85,Core rank tracking unchanged; AI-driven visibility added as capability
The HUB Sri Lanka,born_ai,0.95,AI was core in 2021; current description elaborates existing AI capabilities
"InterAd, Inc.",no_ai_change,0.95,Descriptions are nearly identical; no AI mentioned in either version.
Neomeric,repackaged_to_ai,0.85,"Shifted from generic digital solutions to AI-specific products (agents, platforms)"
Willowmore,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
DemaTrading.ai,repackaged_to_ai,0.75,Pivot from retail crypto to institutional fund ops; AI not core either way
Mission Cloud Services,added_ai_feature,0.85,Core AWS managed services/consulting unchanged; AI added as new offering
OptiMonk,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version.
Lancey,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
inploi,repackaged_to_ai,0.85,Shifted from employer branding/content platform to AI-driven automation-focused recruitment software
Rise Up,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Increff,no_ai_change,0.85,Neither description explicitly mentions AI/ML. Both focus on inventory optimization.
Dung Nguyen,repackaged_to_ai,0.85,Core pivot from manual M&A matching to AI-driven Fit Score evaluation engine
Durable,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Picturepark,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Volans Infomatics Pvt. Ltd.,added_ai_feature,0.95,"AI/ML mentioned in both; core BPM services unchanged, AI as supplementary offering"
First Page Sage,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
SIRP,repackaged_to_ai,0.85,Core pivot from orchestration/automation platform to autonomous AI-driven decision system
Dara.network,repackaged_to_ai,0.85,Pivoted from video collaboration platform to GenAI workflow orchestration platform entirely.
Linkers IoT,added_ai_feature,0.85,Core offering (retail insights/revenue) unchanged; AI added to enhance analytics capabilities
Prime One Global,added_ai_feature,0.75,Core offering (performance marketing) unchanged; AI analytics added as capability
Zumma,repackaged_to_ai,0.95,Complete pivot from B2C investment platform to B2B AI-driven financial automation
Ikroh SEO UK,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Mindzie,repackaged_to_ai,0.85,Core pivot from bottleneck detection to AI-driven process mining and automation
We Play Sport,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
POLLEN Metrology,no_ai_change,0.95,Descriptions are identical; AI/ML present in both via data fusion algorithms
KITE EDGE LTD,born_ai,0.95,NLP/semantic analysis in 2021; FRAG/knowledge graphs/AI insights now
bPUBLIC,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
UrbanKisaan,repackaged_to_ai,0.85,Pivoted from vertical farming to AI-driven seed breeding and farm intelligence platform
Jobber,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
EINBLIQ.IO,repackaged_to_ai,0.85,Core pivot from rules-based analytics to ML-powered agentic automation
visualfabriq,born_ai,0.95,AI mentioned as core capability in both descriptions; no change detected
3 Data,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
CatalystXL,repackaged_to_ai,0.85,Core pivot from sales enablement tool to AI-driven DXP solving digital sprawl
iZotope,no_ai_change,0.95,Descriptions are identical; no AI/ML mentioned in either version
RxLogix Corporation,no_ai_change,0.95,Descriptions are identical; no AI/ML mentioned in either version
Info Cubic Japan,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Medintec,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
31Hex,no_ai_change,0.95,Descriptions are identical; no AI/ML mentioned in either version.
MeVero Inc.,no_ai_change,0.95,Identical descriptions; AI Life Coach mentioned in both versions consistently.
Energybox,no_ai_change,0.95,Identical descriptions; neither mentions AI/ML explicitly
Logical Commander,repackaged_to_ai,0.85,Core pivot from emotion-detection to AI-powered insider-risk platform with privacy focus
Tactiq,no_ai_change,0.95,Identical descriptions; transcription implies AI but not explicitly stated
Vibe,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
Ingeniarius,no_ai_change,0.95,Descriptions are identical; no AI/ML mentioned in either version
Source.ag,born_ai,0.95,AI was core in 2021; remains core. Evolution from concept to specific products.
deepchange Holding,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
Novateus,added_ai_feature,0.85,Core custom software development unchanged; AI integrations added as new service offering
Capital Numbers,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Solution Analysts,no_ai_change,0.95,Descriptions are identical; no AI/ML mentioned in either version
Jurny,added_ai_feature,0.75,Core offering (property management SaaS) unchanged; AI added to marketing pitch
Hut 8 Mining,no_ai_change,0.99,No AI/ML mentioned in either description. Only name change: Mining to Corp.
Mastodon,repackaged_to_ai,0.85,Pivoted from B2C car maintenance to B2B AI-driven auto parts supply chain
IHMC,no_ai_change,0.95,Descriptions are identical; AI/ML were core in both periods.
Attensa,no_ai_change,0.95,Descriptions are identical; neither mentions AI/ML explicitly.
Imadio,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version.
BodyWHAT,born_ai,0.95,AI core to product in both descriptions; descriptions are identical
HUDU,added_ai_feature,0.85,"Core marketplace unchanged; AI (Duey) added for UX/support, not fundamental pivot"
BillEase,no_ai_change,0.95,Neither description mentions AI/ML. Core offering unchanged: payment installments.
Sentra,repackaged_to_ai,0.85,Core pivot from data security to AI-readiness governance with AI-aware capabilities
Xendo,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Speedata,added_ai_feature,0.85,Core APU processor unchanged; AI data prep added as specific use case
EverSafe,added_ai_feature,0.85,Core monitoring unchanged; behavioral analytics added as new capability.
Deep Intelligent Control,added_ai_feature,0.85,Core energy optimization business unchanged; AI now explicitly central to product positioning
SEO Crew,no_ai_change,0.99,Descriptions are identical; no AI mentioned in either version.
Decacorn Capital,no_ai_change,0.95,AI & Deep Learning listed as key technology in both descriptions identically
Sitation,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
Voxela,added_ai_feature,0.85,"Core product (fall detection, alerts) unchanged; AI framing added to description"
OPPS,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Juganu,born_ai,0.95,AI edge computing was core to both descriptions; no meaningful change detected.
MNence,no_ai_change,0.95,Neither description mentions AI/ML. Descriptions are nearly identical.
Datainox,no_ai_change,0.95,Identical descriptions; no AI/ML mentioned in either version
Nanite,no_ai_change,0.95,Identical descriptions; no AI/ML mentioned in either version
Symphony,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
Skyramp,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Velou,repackaged_to_ai,0.85,Core pivot from discovery/conversion to AI-powered data enrichment and catalog optimization
Peak,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
CreditRich,repackaged_to_ai,0.85,Core pivot from spare-change rounding to AI-driven credit optimization engine
Cytonus Therapeutics,no_ai_change,0.85,AI explicitly mentioned in 2021; completely absent from current description
Atome,no_ai_change,0.95,Neither description mentions AI/ML. Core BNPL offering unchanged.
STORE,repackaged_to_ai,0.85,Pivoted from data monetization to AI/cloud computing ownership and governance
Bzigo,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
Enchanted Wave,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
Nornir,repackaged_to_ai,0.75,Core pivot from generic smart city platform to AI-driven network automation and collective intelligence
Palqee Technologies,no_ai_change,0.95,Neither description mentions AI/ML. Only company name changed: Palqee → Ampersand GRC.
Edvantis,no_ai_change,0.95,Neither description mentions AI/ML. Rebranding from 'outsourcing vendor' to 'software company' but same services.
Enfin Technologies Pvt. Ltd,added_ai_feature,0.85,Core streaming/communication business unchanged; AI added as new service offering
Text Approach,repackaged_to_ai,0.85,Pivoted from social media analytics to NLP/semantic search infrastructure for AI training
Qdrant,born_ai,0.95,AI/ML embeddings central in 2021; remains core to current positioning
FinGoal,no_ai_change,0.95,Descriptions identical; AI/ML core to both versions
Quindar,added_ai_feature,0.85,Core platform unchanged; AI/automation added as enhancement capability
Zhisiyun,no_ai_change,0.95,Descriptions are identical; AI mentioned in both as core technology
Iluria,born_ai,0.95,AI/ML core to product in both descriptions; no meaningful change detected
BHub.com,added_ai_feature,0.75,Core offering unchanged; AI agents/automations added as enhancement layer
Volcano,repackaged_to_ai,0.85,Pivoted from video platform to AI/spatial computing company with new flagship product
ABBC Foundation,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version
CorpBL,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
MamaCloud,added_ai_feature,0.85,Core apps/games business unchanged; AI solutions added as new offering
Antezeta,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
Maker AI,no_ai_change,0.85,Neither description mentions AI/ML. Both describe content services.
Ridgeline,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
WNDYR,repackaged_to_ai,0.75,Shifted from operations optimization to AI-driven transformation; core offering appears fundamentally repositioned.
Levers,repackaged_to_ai,0.75,Core pivot from accounting staff services to AR automation software; no explicit AI mention either way
Zigfu,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
Troy Web Consulting,added_ai_feature,0.85,"Core business unchanged (custom software). AI mentioned as R&D exploration, not core offering."
EZ-R.O.I,no_ai_change,0.95,"Descriptions identical; RPA is automation, not inherently AI/ML"
TrustLogix,repackaged_to_ai,0.85,Core pivot from governance-focused to AI-powered risk detection and enforcement
InspecTools,no_ai_change,0.95,Identical descriptions; no AI/ML mentioned in either version
Payble,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Azalio,repackaged_to_ai,0.85,Pivoted from employee ops tool to AI-driven QSR analytics platform
SeoPult,no_ai_change,0.95,Descriptions are identical; no AI/ML mentioned in either version
GT Apeiron Therapeutics,born_ai,0.95,Identical descriptions; AI was core in 2021 and remains core now.
YaizY,added_ai_feature,0.75,"Core offering (credit courses, real projects, credentials) unchanged; AI added to marketing pitch"
OpeninApp,no_ai_change,0.95,Neither description mentions AI/ML. Core product unchanged: deep link generator.
TrackChain,repackaged_to_ai,0.85,Shifted from digitization platform to autonomous AI-driven decision-making system
TeraMedica,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
StreamNative,no_ai_change,0.95,Neither description mentions AI/ML. Descriptions are nearly identical.
Atlas Robotics,born_ai,0.95,"AI/autonomy software core to both descriptions; messaging evolved, not offering"
SnapJot,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version.
Upswing Cognitive Hospitality Solutions,born_ai,0.95,Both descriptions identical; 'cognitive data-driven' indicates AI/ML core in 2021
Heron Data,added_ai_feature,0.85,Core product (transaction categorization) unchanged; ML/automation added as capability layer
Blue Label Labs,repackaged_to_ai,0.85,Pivoted from general product agency to AI-focused digital transformation agency
i2CAT Fundacio,added_ai_feature,0.85,"AI listed among tech fields; core mission (R&D, tech transfer) unchanged"
CoPilot,added_ai_feature,0.85,Core offering (expert guidance for car buying) unchanged; AI now explicit in execution
Blackford Analysis,no_ai_change,0.95,Neither description mentions AI/ML. Both describe algorithmic image registration.
SPACEGOATS,added_ai_feature,0.85,Core fulfillment/supply chain business unchanged; GalaxyAI added as new product layer
TeamBridge,added_ai_feature,0.75,Core offering (workforce management platform) unchanged; AI added as differentiator.
Pydantic Services,added_ai_feature,0.85,"Logfire is observability platform, not AI-core. Data validation unchanged."
Basket,repackaged_to_ai,0.85,Core pivot from aggregator to AI-driven shopping OS with intent capture.
Eyedea Recognition,born_ai,0.95,Computer vision/object detection inherently AI-driven in both descriptions
FuziFilm,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version
Codewave,no_ai_change,0.95,Neither description mentions AI/ML. Shift is cultural/brand positioning only.
21:32 Ltd,born_ai,0.95,AI mentioned in both descriptions as core engagement mechanism
Apogee Search,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Viitorcloud Technologies,added_ai_feature,0.85,AI/ML added to expanded service portfolio; core software development business unchanged
Cisco,no_ai_change,0.95,Neither description mentions AI/ML. Core networking focus unchanged.
getstors,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
BigPanda,born_ai,0.95,AI/ML core to product in both descriptions; minimal substantive change
dTelecom,repackaged_to_ai,0.85,"Core pivot from generic CPaaS to AI agents infrastructure with Voice AI, STT/TTS, autonomous payments."
HealthInRealTime,no_ai_change,0.95,Neither description mentions AI/ML. Descriptions are nearly identical.
MontyCloud,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
qrunchin,no_ai_change,0.85,Neither description mentions AI/ML. Both describe spreadsheet analysis automation.
Readyly,repackaged_to_ai,0.92,Pivoted from outsourced support service to AI-agent automation platform
FindBoB,no_ai_change,0.95,Descriptions identical; AI/ML mentioned in both 2021 and now
Webpop Design,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version.
Compucall,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
Via hive,added_ai_feature,0.75,Core marketplace matching exists in both; AI-driven matching added as enhancement.
SupplyVan,no_ai_change,0.95,Neither description mentions AI/ML. Core B2B/B2C marketplace unchanged.
AsiaQuest,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
Fleming,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
KEYi Tech,born_ai,0.95,AI was core in 2021; remains core. Description evolved to add technical depth.
WeWave,no_ai_change,0.95,Identical descriptions; no AI/ML mentioned in either version
Digital Will Inc.,no_ai_change,0.95,"Neither description mentions AI/ML. Evolution is strategic positioning, not AI."
Solartraders,added_ai_feature,0.85,"Core marketplace unchanged; AI/ML now explicit (price-comparison engine, data leverage)"
Line,repackaged_to_ai,0.75,Core pivot from credit product to AI-driven cost/timing bridge solution
Replit,added_ai_feature,0.85,Core IDE/collaboration unchanged; AI coding assistance added as feature
Vive Studios,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version.
Verint Systems,repackaged_to_ai,0.85,Shifted from broad intelligence/optimization to AI-centric customer experience automation platform
ARMA Global Corporation,no_ai_change,0.95,Neither description mentions AI/ML. Text is nearly identical.
Insight7,repackaged_to_ai,0.85,Pivoted from generic insight/decision-making platform to AI-powered conversational intelligence
Crowdbotics,no_ai_change,0.95,Neither description mentions AI/ML. Only brand name changed to CoreStory.
Replika Software,added_ai_feature,0.85,Core business (social selling platform) unchanged; AI-powered recommendation engine added as feature
Attentive,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
EdMyst,repackaged_to_ai,0.85,Shifted from coaching-centric to hiring/deployment-centric; AI remains core but repositioned.
couponsdiary.com,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version
Social Links,born_ai,0.85,"AI explicitly core in 2021; now emphasizes ML-driven processing, automation"
Reserv,added_ai_feature,0.85,Core TPA service unchanged; AI/ML added as analytical capability layer
Dronedek,added_ai_feature,0.75,Core product (smart mailbox) unchanged; AI/ML added to platform capabilities
Orcas,no_ai_change,0.95,Neither description mentions AI/ML. Core offering unchanged: tutoring platform.
Synsoft Global,added_ai_feature,0.85,Core business (web/mobile dev) unchanged; AI/ChatBots/GenAI added to service menu
X-Times,no_ai_change,0.95,"Identical descriptions; AI mentioned only as application domain, not core product"
Enqura Information Technologies,added_ai_feature,0.75,"Core offering (digital solutions, payments, ID verification) unchanged; AI added as feature/capability"
ZapIT,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Noon,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
SPARQ,repackaged_to_ai,0.85,Core pivot from labor-fee elimination to AI-driven personalized mechanic communication
SonicJobs,repackaged_to_ai,0.85,Core pivot from RPA automation to AI Web Agents; business model fundamentally changed
Big.Jobs,repackaged_to_ai,0.85,Shifted from talent matching platform to AI-driven recruitment copilot automating manual tasks.
Gamboo,added_ai_feature,0.85,Core platform unchanged; AI added to positioning without product pivot evidence
E Virtual Services,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version
Califrais,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
ATech Developers LLC,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version.
LIS Data Solutions,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
Lingk,added_ai_feature,0.75,Core data integration platform unchanged; AI agents added as new capability layer
Seenapse,born_ai,0.95,AI was core in 2021 ('augments creativity'); now explicitly positioned as 'AI copilot'
SpeedBot,no_ai_change,0.95,Descriptions identical; AI/ML core to both versions
DigiFarmz Smart Agriculture,born_ai,0.95,Identical descriptions; AI/algorithms core to both versions
Rectangled.io,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version
iPNOTE,repackaged_to_ai,0.85,Core pivot from vendor marketplace to AI-driven IP workflow automation agent
Salesloft,repackaged_to_ai,0.85,Core pivot from workspace/execution tool to AI-driven revenue orchestration platform
Vendia,added_ai_feature,0.85,"Core data platform unchanged; AI framed as outcome enabler, not fundamental pivot"
Kenja Corporation,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
NatureThings,repackaged_to_ai,0.85,Pivoted from B2C plant marketplace to B2B urban nature/landscaping management platform
Founders,no_ai_change,0.95,Neither description mentions AI/ML. Focus shifted from community+capital+studio to emerging tech venture studio.
Connected Robotics,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
Cyberdyne Computing Inc.,born_ai,0.95,"AI/ML core to both descriptions; removed competitive framing, kept technical substance."
Myrl Tech,no_ai_change,0.95,Descriptions are identical; AI/ML present in both equally
Polar Rose,born_ai,0.95,Descriptions identical; AI/ML core to product in both periods
Yuktix Technologies,no_ai_change,0.95,Descriptions are identical; no AI/ML mentioned in either version
Trilateral Research,no_ai_change,0.95,Descriptions are identical; no AI/ML mentioned in either version
Arta Finance,repackaged_to_ai,0.85,Core pivot from access/fees focus to AI-driven wealth platform with institutional expansion
WUP,no_ai_change,0.95,Descriptions are identical; AI/ML core to both versions
Rencore,added_ai_feature,0.75,Core GRC platform unchanged; AI governance added as new capability
Beam,added_ai_feature,0.85,Core invoicing/payments unchanged; AI Assistant for estimates added as feature
Wonder Sciences,ai_washing,0.75,"Core offering (telemedicine, ketamine, psychedelics research) unchanged; AI added to marketing pitch only"
Nect,no_ai_change,0.95,Identical descriptions; no AI/ML terminology in either version
HackerNoon,no_ai_change,0.95,"Neither description mentions AI/ML. Evolution is business model, not technology."
NADI System,no_ai_change,0.95,Identical descriptions; no AI/ML mentioned in either version
Affogata,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
SOLO Workout (Heavy Kinematic Machines),no_ai_change,0.95,Neither description mentions AI/ML. Core offering unchanged.
Visualax,no_ai_change,0.85,"Both focus on AR/3D visualization tech, neither mentions AI/ML"
Smart Canvas,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Adigi,born_ai,0.95,AI/ML central in both descriptions; evolved from consumer to B2B focus
Develative,no_ai_change,0.95,Neither description mentions AI/ML. Only minor wording refinement.
Huawei Technologies,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
OUTTAR,born_ai,0.95,Deep learning and computer vision mentioned in both descriptions identically.
