id,name,description,bucket,ref_label,ref_unsure,human_label,labeller
1502298,HOMER Energy,"Developer of a microgrid modeling software intended to analyze diverse distributed energy systems. The company's platform offers to analyze and optimize distributed power systems and systems that incorporate high penetrations of renewable energy sources, thereby providing professionals, researchers and enthusiasts in the energy industry with training, services, and community tools.",Commercial B,1.0,False,,
1509157,medical2market,"Developer of medical inventions and technologies designed to solve medical problems in a safe, effective, and cost-efficient manner. The company offers cardiology, respiratory tubes, lung ventilation devices, and other related products, enabling medical practitioners to have visible improvements in cardiology, cardiovascular surgery, anesthesiology, and intensive care.",Commercial B,0.0,False,,
1373228,Home Health Care Resources,"Provider of home healthcare services in West Palm Beach, Florida. The company specializes in Alzheimer's and dental care, personal care, meal preparation, housekeeping, and complimentary in-home consultation.",Commercial B,0.0,False,,
5385,Family+Happy,"We revolutionize parents' quality of life by solving their top problems from one platform. We built a unique certification protocol to maximize service trust, quality and velocity.",Unlisted,0.0,False,,
1454387,Par Five Energy Services,"Provider of oilfield cementing and remediation services throughout the Delaware Basin, Northwest Shelf and Central Basin Platform. The company offers construction, maintainance, trenching, shoring, line detecting and line finding.",Commercial B,0.0,False,,
1625372,Toscana Life Sciences Sviluppo,"EU framework programme participant, SME (first AI project 2023). Project: PepMach",Unlisted,0.0,True,,
1590809,IntelliPhi,"To succeed in a diverse, dynamic, interconnected marketplace, modern leaders must leverage the right mix of data, intelligent (AI/ML) solutions, and seasoned judgment. IntelliPhi advances human & digital go-to-market decision support for enterprises, startups, analysts and investors for greater ROI.",Commercial A,1.0,False,,
1619477,"Laamscience, Inc.",SBIR/STTR awardee (first award 2008). Project: Durable Visible Light-activated Antiviral Coatings for Fabrics Used for Personal ,Unlisted,0.0,False,,
1576792,hammadhaqqani,"AI-powered cloud infrastructure engineer who builds intelligent, self-healing cloud systems by integrating Claude, Codex, and LLMs into DevOps workflows across AWS and Azure.",Unlisted,1.0,False,,
1617034,"Portascience, Inc.",SBIR/STTR awardee (first award 2000). Project: DEVELOPMENT OF A NON-INSTRUMENTED PROTHROMBIN TIME TEST,Unlisted,0.0,False,,
1394948,Fusion CRS,"Provider of carpet cleaning services intended for residential and commercial clients. The company offers carpet and upholstery cleaning, tile and grout cleaning, air duct cleaning and repair, water extraction and drying, furniture cleaning and water damage restoration.",Commercial B,0.0,False,,
1590119,Miikana,clinical-stage biopharmaceutical company developing small molecule therapeutics for cancer,Unlisted,0.0,False,,
1625846,Eclipse Foundation Europe Gmbh,"EU framework programme participant, SME (first AI project 2024). Project: HYPER-AI",Unlisted,0.0,True,,
144487,Wonderobe,SaaS solution for apparel retailers increasing CLTV (retention & average check) Wonderobe is an AI-powered chatbot helping fashion retailers suggest individualized outfit recommendations matching the clothes customers bought recently. It increases customer lifetime value for retailers and saves time for people completing outfits with what they own.,Commercial A,1.0,False,,
1617750,"Chemocentryx, Inc.",SBIR/STTR awardee (first award 2001). Project: A CMV vaccine with modified immuno-modulatory properties,Unlisted,0.0,False,,
1390804,HostingKompagniet,"Provider of IT outsourcing services in Herlev, Denmark. The company provides tailored outsourced hosting and IT solutions to small and medium-sized businesses helping them prioritize their operations over the operation and maintenance of their own infrastructure and clients.",Commercial B,0.0,False,,
487112,Ripellino Arkitekter,Ripellino Arkitekter is an architecture firm that offers residential architecture interior design and planning services. nan,Commercial A,0.0,False,,
1622308,"3Vo Medical, Inc",SBIR/STTR awardee (first award 2025). Project: SBIR Phase I: Feasibility of a Novel Minimally Invasive Labor Augmentation System for Stage I Labor,Unlisted,0.0,False,,
1618463,Crosslink Genetics Corporation,SBIR/STTR awardee (first award 2003). Project: Method for Discovering Novel Transcriptional Regulators,Unlisted,0.0,True,,
1320718,SES Foam,"Manufacturer of polyurethane spray foam insulation intended for homeowners, contractors and design professionals. The company specializes in manufacturing and marketing polyurethane spray foam insulation along with roofing foam as well as onsite technical instruction, better business practice consultation and branding support, enabling to provide optimum energy efficiency for the new or existing home.",Commercial B,0.0,False,,
13013,ProtectED Solutions LLC,"Designing furniture that protects against domestic terrorism and active shooter violence in schools, government buildings, and offices.",Unlisted,0.0,False,,
506061,DEV Software,DEV Software specializes in the development and customization of mobile solutions for the company. nan,Commercial A,0.0,False,,
1335600,OMV Norge,"Provider of crude oil and natural gas exploration services. The company's crude oil and natural gas exploration service offers gas and power, refining and marketing of petrochemicals.",Commercial B,0.0,False,,
22278,Typhoon,"Hugging Face organization — 72 models, 355 followers Twitter: https://twitter.com/opentyphoon",Unlisted,1.0,False,,
1302085,Fano Bryghus,"Operator of brewery intended to offer alcoholic beverages. The company offers alcoholic beverages such as beer, wine, whiskey, distilled alcoholic beverage and other related products.",Commercial B,0.0,False,,
1373130,North Carolina Tobacco Manufacturing,"Producer of tobacco products in Stantonsburg, North Carolina. The company specializes in the making of cigarettes, flavored and non-flavored, filtered and non-filtered cigars and pipe tobacco, thereby helping consumers to get customized products.",Commercial B,0.0,False,,
1576107,rasdaman,"Management and analytics of massive multidimensional arrays (""datacubes""). Repositories",Unlisted,1.0,False,,
1297509,Alumed,"Manufacturer of medical equipment intended for the medical and paramedical sectors. The company's products include veterinary equipment, emergency equipment, surgical devices, mobility assistance equipment, hospital and diagnosis equipment, and dental equipment.",Commercial B,0.0,False,,
1424596,Nelson Family Orthodontics,"Operator of a dental clinic serving in San Marcos, California. The company offers traditional braces, dental implants, clear braces and other related treatments to its clients.",Commercial B,0.0,False,,
460868,MailHippo,HIPAA Compliant Email & Online Forms MailHippo provides a number of HIPAA compliant technology products for healthcare providers.  These include encrypted email messaging and online forms.,Commercial A,0.0,False,,
1564013,hplt-project,A space that combines petabytes of natural language data with large-scale model training,Unlisted,1.0,False,,
646434,ClimeNow,ClimeNow aids ClimateTech growth with strategy execution and operating model design. nan,Commercial A,0.0,False,,
415075,Levana,"Levana is a decentralized exchange protocol designed to enable leveraged positions for any asset. Levana is a decentralized exchange protocol designed to enable leveraged positions for any asset. Levana is a cross-chain leverage AMM DEX for the Cosmos ecosystem, bringing leverage to any asset; Index Tokens, Perpetual Swaps, Tokenized Swaps, Perps and more. Founded in 2021, Levana offers permission-less, censorship-resistant, capital-efficient markets and a crypto-derivated trading platform that helps to spread awareness and adoption of decentralized finance that enables clients to create a place to trade on the blockchain and onboard a global audience of web2 users to the world of web3.",Commercial A,0.0,False,,
1617242,Ontogen Corporation,SBIR/STTR awardee (first award 2000). Project: DISCOVERY OF NOVEL FRUCTOSE BISPHOSPHATASE INHIBITORS,Unlisted,0.0,False,,
1548869,Bella Lash & Beauty,"Provider of beauty services located on Main Street Unionville, specializing in lash services, brow services, facials, waxing, and permanent makeup. The company is known for its exceptional service, advanced techniques, and commitment to enhancing natural beauty, offering professional certification training, fostering industry growth and education.",Commercial B,0.0,False,,
1622769,Donald Danforth Plant Science Center,SBIR/STTR awardee (first award 2020). Project: PFI-TT: Accelerated Detection of Successful Crop Production,Unlisted,0.0,True,,
7762,YourDiamonds,Enabling the diamond industry to solve old-world problems through digital technologies and web3.,Unlisted,0.0,False,,
1330094,flitcon,"Provider of business intelligence and IT services. The company offers consulting, software development and training services. It supports the entire lifecycle of its clients' SAS software products.",Commercial B,0.0,False,,
1330488,Opertis,"Manufacturer of electronic locking systems intended for tailor-made solutions for property. The company offers to develop and sell software and hardware-based systems for access control, time recording, and integrated security systems.",Commercial B,0.0,False,,
360643,Cornwell Internet,Cornwell Internet is a digital marketing company that provides web design consultancy and maintenance services. nan,Commercial A,0.0,False,,
1301845,Love It magazines,"Publisher of woman's magazine. The company publishes magazines for women combining real-life stories with those on celebrities, fashion, beauty and sex.",Commercial B,0.0,False,,
1614579,Automile,"a cloud-based solution for vehicle and asset tracking, offering live location, smart alerts, mileage and fuel reporting, and route optimization for thousands of businesses.",Unlisted,0.0,False,,
425610,Positiva,"Positiva is an IT firm that offers web design, optimization, application development, and digital communication services. nan",Commercial A,0.0,False,,
1431928,Prognosis Innovation Healthcare,"Provider of healthcare information technology services designed to focus on real results and help hospitals achieve long-term success. The company's healthcare information technology services help hospitals achieve system-wide user adoption, which results in better care coordination, improved communications, enhanced patient safety, increased charge capture and improved hospital operations, providing rural and community hospitals an easy to use software for patient care documentation.",Commercial B,0.0,False,,
128436,VRsenal,VRsenal is a market leader in premium virtual reality peripherals and integrations. VRsenal is a market leader in premium virtual reality peripherals and integrations,Commercial A,0.0,False,,
1560204,The Roman Industrial Revolution that could have been,"This is a proof-of-concept comic book that asks: What if knowledge from 2025 reached Rome and kicked off an industrial revolution? The story follows two voices: - Ulysses, a present-day archaeologist who finds a glowing slate in the dig site. - Marcus, an educated household slave in 79 AD who replies on that slate. Why I’m posting: I’d love narrative feedback. – Does the story make sense? – Are Ulysses and Marcus believable? – Which directions would you explore next (politics, tech, moral fallou",Unlisted,0.0,False,,
1462219,Dimension Energy Services,"Provider of in-plant maintenance services to the petrochemical and refining markets throughout the Gulf Coast. . The company offers a suite of integrated engineering, procurement and construction (EPC) and facility maintenance services including daily maintenance and turnaround services as well as welding, bolting, pipe fitting, fabrication and quality control services, ensuring clients meet and maintain federal and state compliance regulations.",Commercial B,0.0,False,,
1407890,Kohrener Landmolkerei,"Producer of milk products in Penig, Germany. The company specializes in processing milk and products such as pasture and hay milk, yoghurt and mixed milk drinks along with contract manufacturing.",Commercial B,0.0,False,,
1627295,"Sperient, Inc.","SBIR/STTR awardee, Department of Defense (first award 2005). Project: Ultra Low Power Electronics for Autonomous Micro-Sensor Applications",Unlisted,0.0,False,,
1620416,"Smart Activity Of Daily Living, Llc",SBIR/STTR awardee (first award 2014). Project: A Wireless Device to Monitor and Track Fluid Consumption in At-Risk Older Adults,Unlisted,0.0,False,,
440496,Vector Vibe,"Vector Vibe is an advertising company that provides digital marketing, SEO, web development, graphic design, and branding services. nan",Commercial A,1.0,False,,
1453319,Yard Gear,"Retailer of outdoor power and sports equipment based in Hanwell, Canada. The company offers a selection of lawn and garden equipment, handheld equipment, snow blowers, trailers, motorbikes and tractors along with after sales, maintenance and equipment financing services.",Commercial B,0.0,False,,
1627136,Orobotix Inc.,"SBIR/STTR awardee, National Science Foundation (first award 2021). Project: SBIR Phase I: Autonomous and permanently deployed ship hull inspection and cleaning vehicle",Unlisted,0.0,True,,
1360654,Van Grunsven Vertaal Services,"Provider of legal and financial translation services based in Zeist, Netherlands. The company provides legal translations for lawyers and legal specialists and also mediates between legal translators and lawyers.",Commercial B,0.0,False,,
1517325,SurvivorNet,"Operator of a cancer information platform intended to bring experts from the comprehensive cancer centers together in one place. The company's platform contains deep, nuanced video content from cancer doctors on the kind of research and trials being pursued by large drug companies in collaboration with large-scope cancer centers including commentary on the risks involved, enabling individuals to get need-to-know information and make informed choices about cancer and to ask cancer-related questions to healthcare experts.",Commercial B,0.0,False,,
546148,SenID,"Payment environment, Credit access, focusing on embedded financial solutions that cater to the needs of the unbanked and underbanked At SenID, our vision is to redefine the financial landscape for both merchants and consumers through our innovative embedded financial platform. We understand the challenges that merchants face with high transaction fees from credit card payments. Our goal is to significantly lower these costs, offering a more economical and efficient alternative that enhances their bottom line, making us an attractive partner for businesses seeking financial optimization. For our users, we're tackling critical issues that have long been barriers in the financial world. From the difficulty in accessing credit to the complexity of managing diverse financial products, our solutions are designed with the user in mind. Leveraging cutting-edge generative AI technology, we simplify the onboarding process, making credit more accessible to a broader audience. Moreover, we focus on educating our users, empowering them to make informed financial decisions and avoid the pitfalls of credit traps.",Commercial A,0.0,False,,
1624032,"Sage Electrochromics,Inc.",SBIR/STTR awardee (first award 2005). Project: SBIR Phase II:    Nanostructured Materials and Process for Improved Electrochromic Device Performance,Unlisted,0.0,False,,
509183,Dt. Dental,Dt. Dental is a software company that develops schedule management solutions for dentists to manage the records and billing process. nan,Commercial A,0.0,False,,
516153,Datamorphosis Technologies,"Datamorphosis Technologies is an IT company that provides machine learning, big data, analytics, app development, and IoT services. nan",Commercial A,0.0,True,,
1617849,"Cytovia, Inc.",SBIR/STTR awardee (first award 2001). Project: CASPASE INHIBITORS FOR TREATMENT OF ORAL MUCOSITIS,Unlisted,0.0,False,,
284744,AdamLouis,"AdamLouis offers website design, web development, business email accounts, FB WiFi devices and web hosting services. nan",Commercial A,0.0,False,,
80448,YogaMe,"YogaMe is a revolutionary, award winning mobile tool for stress relief and yoga. YogaMe is a revolutionary mobile tool for short yoga and mindfulness exercises. YogaMe is an online exercise program with advanced, gamified features, changing the idea of workplace wellbeing. Video-based exercises effectively reduce stress and muscle tension and add energy in 5 minutes. 82% of users report better neck and shoulders.  User gets a uniquely tailored program where he can level up in a motivating way. YogaMe is ideal for small breaks during the workday, requiring no yoga gear or experience. YogaMe is sold directly to workplaces and business travel.",Commercial A,0.0,False,,
1493943,FAMACS,"Operator of a media and SEO agency specializing in international communication and search engine optimization based out of Naples, Italy. The company offers off-page SEO, outreach, link building, media buying, and digital PR, with a specific focus on sensitive industries with board members bring extensive professional journalism backgrounds, enabling them to establish strong connections within the media industry.",Commercial B,0.0,False,,
1617434,"Williams Lifeskills, Inc.",SBIR/STTR awardee (first award 2000). Project: DEVELOPMENT OF A VIDEO TO TEACH THE LIFESKILLS WORKSHOP,Unlisted,0.0,False,,
646222,Bellefield,Bellefield is a commercial real estate agency that provides property design and renovation services. nan,Commercial A,0.0,False,,
1334470,Local Guddy,"Developer of an online marketplace designed to connect travelers and locals. The company's online marketplace offers information about bars, clubs, pubs, food, nightlife and outdoor activities, enabling the users to access a wide range of services for their entertainment.",Commercial B,0.0,False,,
1440712,Alpha Specialties,"Operator of a truck and trailer dealership in Pearl, Mississippi. The company offers new and used equipment trailers, dump trailers, utility trailers, cargo trailers, car hauler trailers, gooseneck trailers, truck beds and related products along with repair and installation services, enabling clients to avail of the required products.",Commercial B,0.0,False,,
1616707,"New England Biolabs, Inc.",SBIR/STTR awardee (first award 2000). Project: PROTEIN PURIFICATION USING INTEIN C-TERMINAL CLEAVAGE,Unlisted,0.0,False,,
34761,A2Z SourceTech,"A2Z SourceTech is a Bangalore-located company offering web applications, infrastructure and BPO services. A2Z SourcE consistently delivers Web Applications services, Infrastructure services, and Business Process Outsourcing (BPO) services in India & globally through a combination of technology knowhow, domain and process expertise. Our results focus on real improvement in business performance for our clients. We bring to our clients a credible and experienced global leadership team driving service delivery through the next generation global delivery model.   We service clients in Financial Services, Manufacturing, Communications, Media & Entertainment, Healthcare & LifeSciences, Transportation & Logistics, Retail & Consumer Packaged goods, Energy & Utilities, and to Governments around the world.   A2Z SourcE (then,AptsourcE) was formed in October 2007 after the revised affiliation of the Bangalore-based IT consulting company, , besides an onsite presence at key locations in India, the company headquartered in India has an extensive offshore infrastructure for Applications, BPO, and Infrastructure services.",Commercial A,0.0,False,,
1615652,Biome Makers,Analyzes soil microbiome and chemical composition to provide predictive insights for crop health and sustainability. Uses biocomputing to help farmers reduce chemical inputs and improve soil health.,Unlisted,1.0,False,,
5729,Praktice AI,AI driven speech bots for hospitals to automate 70% of the daily transactions within the hospital and engage patients 10x better.,Unlisted,1.0,False,,
583946,Dustoff Technologies,"DUSTOFF Technologies offers IT solutions in health info, cyber security, and big data, focusing on federal projects. DUSTOFF Technologies specializes in health information technology, cyber security, and big data solutions. As a service-disabled veteran-owned small business, it focuses on delivering comprehensive IT services. The company engages in strategic partnerships and mentor-protege joint ventures to enhance its service offerings. DUSTOFF Technologies has a notable presence in federal construction projects and has been involved in developing innovative solutions for dust removal in space exploration contexts, showcasing its commitment to leveraging technology for complex challenges.",Commercial A,0.0,True,,
404522,Teamstand,"Teamstand is a technology firm that offers access to digital files, document unification, data, and discussions in a shorter time. nan",Commercial A,0.0,False,,
380108,Ideas in Focus,"Ideas in Focus is a consumer insight strategic consulting firm that focuses on brand development, workshops, and ideation facilitation. nan",Commercial A,0.0,False,,
1380651,GOG,"Developer of a digital game distribution platform designed to offer the greatest selection of games. The company's platform offers a curated selection of best classic and new DRM (digital rights management)-free games that can be downloaded on any device, enabling gamers to enjoy unlimited games at affordable rates.",Commercial B,0.0,False,,
1457931,5GenCare,"Provider of IOT solutions intended to cater businesses from start-ups to big enterprises and multinational electronics brands. The company offers product development, cloud and server hosting, data analytics and application development services thereby enabling to deliver innovative IoT solutions for stakeholders.",Commercial B,0.0,False,,
1434016,Bantam Networks,"Provider of online contact management and social customer relationship management services. The company offers an online service for business teams to collaborate in a workspace and fuse communications, content, applications, and data while building relationships on the Web. It offers Bantam Live, an online service that is integrated to social networks and allows business teams to search, monitor, and connect with people on the Web for business development, sales, and marketing purposes.",Commercial B,0.0,False,,
1404310,Livecare (Utah),"Livecare Inc is a chronic care service and technology provider of diabetes epidemic solutions in the Gulf Cooperation Council countries. Through visibility into daily health status, proactive real-time communication, personalized support, and programs designed, the company engages diabetics in their overall wellness.",Commercial B,0.0,True,,
1627268,IST-Rolla,"SBIR/STTR awardee, Department of Defense (first award 2006). Project: Advanced Filtering Techniques Applied to Spaceflight",Unlisted,0.0,True,,
1618337,"Aerodyne Research, Inc",SBIR/STTR awardee (first award 2003). Project: Biothreat Detection with Improved Background Rejection,Unlisted,0.0,False,,
1487770,NTW (Semiconductors),"Manufacturer of circuit boards and chips intended to serve clients in various sectors. The company offers rigid PCB circuit boards, flexible circuits, board design and implementation, and local agency services.",Commercial B,0.0,False,,
192811,Tesorion.nl,"Tesorion offers cyber security solutions to companies securing their industrial, official, cloud, mobile, & IoT data. nan",Commercial A,0.0,False,,
1620925,"Janus Research Group, Inc.",SBIR/STTR awardee (first award 2017). Project: Advanced technology for the improvement of Modular Emergency Radiological Response Transportation Training,Unlisted,0.0,False,,
367215,CCK Builders,"CCK Builders is a construction company that offers project development, field management, remodeling, and general contractor services. nan",Commercial A,0.0,False,,
1417943,MPM Specialist Vehicles,"Distributor of trucks, trailers and related transportation vehicles intended to serve transportation, construction, fire and rescue industry. The company offers new and used fuel trucks, terminal chassis trailers, liftmaster, cassettes, seacom trailers, fuel tank, gooseneck and hazardous spill reservoirs as well as offers fire and rescue equipment.",Commercial B,0.0,False,,
1614429,Imbue,"Imbue builds AI systems that reason, powering smart agents to handle complex tasks and reimagine personal computing as an empowering tool in our everyday lives.",Unlisted,1.0,False,,
1559029,A package manager for AI plugins,"A package manager for discovering, publishing, and integrating AI plugins through APIs",Unlisted,1.0,False,,
1568810,matomo-org,"Matomo is hiring 🚀 Matomo.org/jobs MISSION: « To create, as a community, the leading open analytics platform that gives every user full control of their data »",Unlisted,0.0,False,,
1551660,OtterMon AI,"Developer of an opinionated monitoring platform designed for engineering teams to unify their existing monitoring tools. The company's platform consolidates various monitoring tools into a single user interface, serving organizations seeking improved insights, diagnostics, and alerts for incident management, enabling teams to enhance operational efficiency and streamline incident response processes.",Commercial B,0.0,False,,
473925,AVN Solutions,"AVN Solutions is a technology firm that offers design consultation, engineering, installation, and programming of audio-visual systems. nan",Commercial A,0.0,False,,
1512518,BioWise Technologies,"Operator of a biotech company intended to specialize in identifying novel fungal strains and developing advanced fermentation technology. The company offers fungal strains with high protein contents, developing advanced fermentation technology for the production of mushrooms that will be used as pet feed ingredients with the advantages of no allergy, higher health and nutritional values, and lower cost, enabling customers to access non-allergenic and highly nutritious protein sources.",Commercial B,0.0,False,,
192915,Pay4Sale,Pay4Sale develops a concept that makes the website a unique sales device and deals with all internet marketing. nan,Commercial A,0.0,False,,
21461,David AI (Delaware),"Developer of an artificial intelligence-powered end-to-end data platform designed for model developers and enterprises tackling challenging multimodal data needs. The company's platform generates, qualifies, and labels non-publicly available multimodal datasets, identifies and manages data quality requirements of datasets for training AI models, and automates the creation of metadata to capture details about the data origin, any changes made, and timestamps, enabling clients to add new revenue streams for their business by detecting and removing irrelevant, duplicated or tampered data.",Commercial B,1.0,False,,
1540940,Paklaunch,"Operator of a community connecting platform designed to support and connect Pakistani entrepreneurs and investors worldwide. The company offers guidance, training and assistance with fundraising and facilitates discussions on global investment opportunities, enabling local entrepreneurs to receive support through collaboration and knowledge sharing.",Commercial B,0.0,False,,
521650,DataExperts,DataExperts is a software development and data science agency that offers web development and data science services. nan,Commercial A,0.0,False,,
628711,Farm To Plate,"Supply chain track and trace | Blockchain | Farm To Plate Farm to Plate is a pioneering blockchain solution for the Food and Beverage industry. We aim to create an ecosystem that ensures visibility, compliance, and innovation within the food supply chain.  Leveraging Distributed Ledger/Blockchain Technologies, our team of experts provides comprehensive insights into this technology landscape and its implications.",Commercial A,0.0,False,,
1423016,Arawaza USA,"Wholesaler and Retailer of martial arts equipment in Doral, Florida. The company offers uniforms, protectors, belts, training gear and accessories to its customers.",Commercial B,0.0,False,,
1478614,Beauty Bridge,Distributor of Korean cosmetics catering to the United States and Latin America. The company distributes clean ingredients and vegan products in Korean cosmetics enabling clients with Korean products across borders.,Commercial B,0.0,False,,
1296287,Ravelcare,"Ravelcare Ltd is engaged in the trading of a variety of Personal Care Products such as Haircare, Skincare, Body care and other related products through its own website and other E-Commerce platforms such as Amazon, Flipkart, which are manufactured through third party manufacturers under the brand name of ""Ravel"". The company's product offerings include Haircare, Skincare, Bodycare and Scalp Care products. The majority of its revenue is generated from Haircare products.",Commercial B,0.0,False,,
187919,Yuanda Robotics,Yuanda Robotics is develop robots that are as approachable as an ordinary tool and as easy to use as a smartphone. Yuanda Robotics is develop robots that are as approachable as an ordinary tool and as easy to use as a smartphone.,Commercial A,0.0,False,,
1413918,Amnis Pura,"Developer of proton-exchange membrane (PEM) fuel cells and pressure swing adsorption units designed for hydrogen purification. The company develops, designs, and produces tailored services for hydrogen production and purification for the chemical and energy industries, production, and commercialization of pressure swing adsorption (PSAs) for purification of other types of gases, including carbon monoxide, propane and propene, among others, enabling clients to get the system to obtain hydrogen to provide sustainable fuel.",Commercial B,0.0,False,,
1589812,circle,"Mobile-first, inventory led thrifting platform enabling secondhand sales, focused on fashion and clothing",Unlisted,0.0,False,,
5515,Tallysticks,Tallysticks is a blockchain-based transactional network that automates invoicing and invoice financing processes.,Unlisted,0.0,False,,
402760,ccFOUND,"EdTech, e-commerce, IT Thanks to you, ccFOUND will become the most popular educational portal in the world. It brings people together and allows them to exchange information, knowledge and wisdom. How much exactly did we collect and what does it mean for the project? Summary soon!",Commercial A,0.0,False,,
36492,Cyfeon Solutions,"Cyfeon Solutions provides data optimization solutions to help analyze, optimize, automate, and control business processes. Cyfeon Solutions is a business solutions company that correlates disparate and copious amounts of data and present that collective information in a usable way. They specialize in analysis, data profiling and modeling; and anomaly detection. It provides front office tools for back office management.  They develop answer factory: a multi-sourced, data analytics, and action platform that unites a company’s internal data with the world's external data to improve decision making. The company delivers business solutions on top of big data and other data sources to improve answer quality. It also offers automated compliance for financial services. Cyfeon Solutions was founded by Brandon Smith in 2011 in Austin, Texas.",Commercial A,1.0,False,,
1568049,WE3io,"We combine senior product, design and engineering expertise to craft real outcomes.",Unlisted,0.0,True,,
1619209,"Oceanit, Inc.",SBIR/STTR awardee (first award 2007). Project: Transgenesis-Ready Mice with Tn5 Transposase,Unlisted,0.0,False,,
605697,N7R Info-Tech Co.,"N7R Info-Tech Co. focuses on VR hardware/software, gaming, and mobile ecosystems. nan",Commercial A,0.0,False,,
1559064,Google Code Jam Archive,"Hi HN, As many of you already know, Google has discontinued their coding competitions and is shutting down the competitions website. Before it&#x27;s gone forever, I&#x27;ve scraped everything I could from their website and set up my own archive. (Disclaimer: I&#x27;m not affiliated with Google besides participating in these contests years ago) While the initial version was ready back in March, today I&#x27;m rolling out big and hopefully the final update, so this might be a good time to share i",Unlisted,0.0,False,,
169163,MILIZE,"MILIZE is the development and operation of a web platform that integrates financial engineering, AI research, development, and operation. MILIZE is a development and operation of a web platform that integrates financial engineering, AI research, development, and operation.",Commercial A,1.0,False,,
1620701,Angulus Corporation,SBIR/STTR awardee (first award 2016). Project: Utilizing Innovative Technology To Improve Compliance With Patient Elevation Guidelines – The Impact Of Angulus On Adherence To The Evidence-Based VAP-Prevention Bundle,Unlisted,0.0,False,,
1314928,Feelance Company,"Provider of an online marketplace intended to bring curated consultants and prospective clients together at one place to find the perfect match for desired business needs. The company's marketplace matches skills of the consultants with the available opportunities posted by clients and proactively suggests the same to the consultants, enabling clients to search the profiles of consultants for the short term assignments they want to engage the consultants for.",Commercial B,1.0,False,,
1621649,"Lightseed, Inc.",SBIR/STTR awardee (first award 2022). Project: Improving Outcomes in Cancer Treatment-Related Cardiotoxicity,Unlisted,0.0,False,,
