university,startup_name,description,website,is_ai_related,ai_confidence_score,source
Stanford (StartX),Arch Systems,"Discover AI for manufacturing and smart factory solutions that boost OEE, reduce downtime, and optimize production. Arch Systems delivers AI-powered analytics for electronics manufacturers worldwide.",https://archsys.io,True,0.6,StartX
Stanford (StartX),Aria Pharmaceuticals,,https://ariapharmaceuticals.com/,False,0.0,StartX
Stanford (StartX),ARIO,"The Ario Lamp is the perfect addition to your life. Our patented technology mimics natural light, delivering the right type of light your body needs each second of the day to keep you healthy. It senses your presence and turns on when you need it to without you having to reach for a switch. Calming light in the evenings helps you wind down, while energizing light in the morning and daytime helps you wake up and stay up.",http://www.arioliving.com/,False,0.0,StartX
Stanford (StartX),Aristotle,,https://aristotlehq.com/,False,0.0,StartX
Stanford (StartX),Arithmedics,Our team has complimentary deep domain expertise in tech and healthcare.,http://www.arithmedics.ai,False,0.0,StartX
Stanford (StartX),ARLAN,"New technologies in biogenetics. We create science-intensive and high-tech products based on professional knowledge in the fields of synthetic biology, diagnostics and machine learning.",https://arlanbiotech.com/en,True,0.35,StartX
Stanford (StartX),Aromyx,"Over millions of years, our olfactory system has evolved into the most powerful chemical detector on the planet. By harnessing its sensory abilities, we are measuring taste and smell to generate data the world has never accessed before.",http://www.aromyx.com,False,0.0,StartX
Stanford (StartX),Arterys,"We are making AI real by improving physician experience, accuracy of diagnosis and treatment, financial performance and outcomes that matter to patients and
                    providers.",https://www.arterys.com/,True,0.2,StartX
Stanford (StartX),arundo,"Discover how Arundo's AI-driven solutions optimize performance, reduce costs, and drive innovation in asset-heavy industries. Explore our tailored applications designed to enhance operational efficiency.",http://www.arundo.com,True,0.4,StartX
Stanford (StartX),AtomBeam,"Boost speed, security and IoT savings up to 75% with Atombeam’s patented, AI-powered data compression—trusted by defense, edge, cloud and enterprise leaders.",https://atombeamtech.com/,True,0.4,StartX
Stanford (StartX),Audacy,,http://audacy.space,False,0.0,StartX
Stanford (StartX),Augmedix,AI-centric solutions for human-centric medicine. Augmedix takes care of the notes so that clinicians can connect with their patients.,https://www.augmedix.com,True,0.2,StartX
Stanford (StartX),aurie,,,False,0.0,StartX
Stanford (StartX),AutoTrainer,,,False,0.0,StartX
Stanford (StartX),AVAILS MEDICAL,Avails Medical is pioneering a new era in infectious disease care — accelerating AST diagnostics to outpace antimicrobial resistance and save lives on a global scale.,http://www.availsmedical.com/,False,0.0,StartX
Stanford (StartX),Awair,The #1 indoor air quality monitor for anywhere people spend time indoors. Do you know what's in the air you breathe? Find out today!,https://getawair.com/,False,0.0,StartX
Stanford (StartX),Axiom Exergy,"Axiom Cloud uses AI to transform how refrigeration is managed by grocery 
and cold storage companies across many sites. Lower leak rates, save money, 
comply with regulations, and reduce service calls.",http://www.axiomexergy.com,True,0.2,StartX
Stanford (StartX),Axius,This domain may be for sale!,https://www.axi.us,False,0.0,StartX
Stanford (StartX),ayasdi,"AML software and financial crime prevention AI solutions uncover your risks, improve investigations, and transform your operations.",https://www.ayasdi.com/,True,0.2,StartX
Stanford (StartX),BabyNoggin,,http://www.babynoggin.com,False,0.0,StartX
Stanford (StartX),BabyQuip,"Rent baby equipment for holidays and vacation. All the baby gear and furniture you need: cribs, strollers, car seats, toys, etc. We deliver, setup and pick-up.",http://www.babyquip.com,False,0.0,StartX
Stanford (StartX),bach,,,False,0.0,StartX
Stanford (StartX),Banyan Security,SonicWall strengthens cloud security with Banyan Security. Enhance your network defense with SSE and ZTNA solutions from a SonicWall partner.,http://www.banyansecurity.io,False,0.0,StartX
Stanford (StartX),Beacon Photonics,"Founded by experts in the field of heterogeneous photonics, Beacon 
Photonics delivers innovative optical microsystems for commercial and 
national security impact.",https://beaconphotonics.com,False,0.0,StartX
Stanford (StartX),Beddr Sleep,,http://www.beddrsleep.com,False,0.0,StartX
Stanford (StartX),Bempu,BEMPU is a company that makes innovative products for newborns,http://www.bempu.com,False,0.0,StartX
Stanford (StartX),bioserenity,"BIOSerenity develops devices for Neurology testing and medical services in neurology, cardiology and sleep testing.",https://www.bioserenity.com/,False,0.0,StartX
Stanford (StartX),Bioz,Search for Bioz rated products from peer reviewed research papers.,https://www.bioz.com/,False,0.0,StartX
Stanford (StartX),BitBull Capital Cryptocurrency Hedge Fund,,http://www.bitbullcapital.com,False,0.0,StartX
Stanford (StartX),Black SMS,"Chaitanya is on the iOS engineering team. He was the 5th employee and the #1 iOS engineer at a unicorn startup, Hike Messenger, one of India's largest messengers with over 100 million active users.In the past, he also personally built and published Verbs, a messenger which became the #3 social networking app on the US App Store and achieved 25,000 downloads in one day.",http://blacksms.info/,False,0.0,StartX
Stanford (StartX),Blendoor,Where you decide what companies match you,http://www.blendoor.com,False,0.0,StartX
Stanford (StartX),Sonant AI,"Insurance Agency Automation: Free up licensed agents from repetitive calls. Try Sonant, the AI Receptionist for Insurance Agencies, Brokers, and Distributors.",https://www.sonant.ai,True,0.4,StartX
Stanford (StartX),bluecord,,,False,0.0,StartX
Stanford (StartX),Bluecrew,"Bluecrew is the first hourly workforce-as-a-service provider: combining W-2 labor, a workforce management platform, and data + analytics for workplaces who have hourly workers and fluctuating demand.",http://www.bluecrewjobs.com,True,0.2,StartX
Stanford (StartX),BlueSky,Bluesky delivers intelligent insights for optimizing performance and reducing infrastructure costs on data cloud technologies such as Snowflake and BigQuery.,https://getbluesky.io/,False,0.0,StartX
Stanford (StartX),bodygram,Tailor products and services to your customers at scale. Bodygram is the easiest and most reliable way to obtain body measurements.,https://www.bodygram.com,False,0.0,StartX
Stanford (StartX),Bolt,"Bolt lets you send, spend, and manage your cash and crypto and more—all in one place.",http://bolt.com,False,0.0,StartX
Stanford (StartX),bonded,,,False,0.0,StartX
Stanford (StartX),Boom Fantasy,"Play fantasy sports like never before at Boom Sports! Win real cash prizes daily with fast, easy, and thrilling games. Sign up now and start winning big!",http://www.boomfantasy.com,False,0.0,StartX
Stanford (StartX),Booster,Booster’s mobile fuel delivery saves your team time & money sustainably. We harness technology to bring you gas & diesel on demand. Click to learn more.,https://boosterusa.com/,False,0.0,StartX
Stanford (StartX),BrainKey,BrainKey is a personal 3D brain dashboard built by neuroscientists with the goal of empowering individuals and researchers to better understand the brain and improve brain health.,https://www.brainkey.ai/,False,0.0,StartX
Stanford (StartX),Branch,"Drive mobile growth with the industry-leading MMP and deep linking platform. Branch provides the privacy-safe attribution and linking infrastructure for 100,000 apps.",https://branch.io/,False,0.0,StartX
Stanford (StartX),breaker,,http://www.breakerchat.com/,False,0.0,StartX
Stanford (StartX),Breathometer,,https://www.breathometer.com/,False,0.0,StartX
Stanford (StartX),Bright,This domain may be for sale!,http://bright.md/#bright-approach-1,False,0.0,StartX
Stanford (StartX),brilian,,,False,0.0,StartX
Stanford (StartX),bullet bio,,http://www.bulletbio.com/,False,0.0,StartX
Stanford (StartX),Buzz Solutions,"Make unexpected power outages a thing of the past with a Visual Intelligence solution to inspect, maintain, & secure energy infrastructure.",http://buzzsolutions.co,False,0.0,StartX
Stanford (StartX),Camp Six Labs,campsixlabs.com is your first and best source for information about campsixlabs. Here you will also find topics relating to issues of general interest. We hope you find what you are looking for!,http://campsixlabs.com,False,0.0,StartX
Stanford (StartX),One Canopy,,https://www.onecanopy.com/,False,0.0,StartX
UC Berkeley (SkyDeck),Vom,,https://vom.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),VoiceBit,,https://voicebit.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),SplitSecure,"SplitSecure protects sensitive accounts with no single point of failure. Easy setup, seamless access, and enterprise-grade security that just works.",https://splitsecure.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Scam AI,"WebVetted checks websites, social profiles, businesses, vehicles, listings, jobs, and more—so you don’t get scammed. Verify before you trust.",https://scamai.com,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),Satsurance,,https://skydeck.berkeley.edu/companies/satsurance/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Rescope,Thank you! You've been added to our list and we'll be in touch soon.,https://rescope.ai,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),ReIGNITE Therapeutics Inc,,https://skydeck.berkeley.edu/companies/reignite-therapeutics-inc/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),PYRAMYD,"Pyramyd forme depuis 30 ans les professionnels de la communication visuelle, du design et de la création digitale et print..",https://pyramyd.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Ludwig Computing,AI makes choices. We are building the hardware to match.,https://ludwigcomputing.com,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),Hominy AI,,https://skydeck.berkeley.edu/companies/hominy-ai/,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),Gheek AI,,https://skydeck.berkeley.edu/companies/gheek-ai/,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),Flexify AI,,https://skydeck.berkeley.edu/companies/flexify-ai/,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),Flatlight,Il ne vous reste plus qu'à télécharger les fichiers de votre site et à commencer votre voyage. Découvrez comment faire ci-dessous :,https://flatlight.tech,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Drover Labs,"React, React Native, and GraphQL specialists. What can we build together?",https://droverlabs.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),DeepTrail Inc,,https://skydeck.berkeley.edu/companies/deeptrail-inc/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Code Blue AI,,https://codeblueai.com,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),CipherSonic Labs,We at CipherSonic Labs build encrypted AI infrastructure that enables enterprises to securely deploy artificial intelligence on sensitive and regulated enteprise data.,https://ciphersoniclabs.ai,True,0.75,Berkeley SkyDeck
UC Berkeley (SkyDeck),April,"Leader du courtage grossiste en France, APRIL est implanté dans 18 pays dans le monde. Découvrez notre groupe !",https://april.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Trag,"Aplikacija za deljenje fotografija sa venčanja, rođendana i proslava. Gosti skeniraju QR kod, slikaju se, i sve fotografije budu na jednom mestu. Od €39.",https://trag.app,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Soula,,https://soula.co,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),OpenGrant,,https://opengrant.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Flux Robotics,Automate your weed control so you can focus on the important stuff,https://fluxrobotics.ai,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),DT Master Carbon,,https://skydeck.berkeley.edu/companies/dt-master-carbon/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Drill Surgeries,CLARO Surgical - XR and AI for orthopaedics,https://drillsurgeries.com,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),Daspren,"Daspren centralizes usage mapping, data classification, and active data control for complete real-time protection.",https://daspren.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Darween Bioscience,,https://skydeck.berkeley.edu/companies/darween-bioscience/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),CloEE,,https://cloee.ai,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Cyphra Autonomy,,https://skydeck.berkeley.edu/companies/cyphra-autonomy/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Quotr,"AI-powered construction estimation with 90% faster takeoffs, 95% accuracy, and 40-50% material savings. Built for subcontractors, general contractors, and developers.",https://quotr.io,True,0.4,Berkeley SkyDeck
UC Berkeley (SkyDeck),EMOBOT,,https://emobot.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),D.Sole,,https://dsole.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Light Links,,https://lightlinks.io,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Kelvin Cooling,Over 40 W/cm2K heat transfer coefficient (HTC) for a heat flux over 300W/cm2,https://kelvincooling.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Rhea's Factory,Rhea's Factory converts contaminated plastic waste into virgin-quality monomers using AI-designed enzymes. Enabling true plastic circularity.,https://rheasfactory.com,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),Outer Rim Exploration,,https://skydeck.berkeley.edu/companies/outer-rim-exploration/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Bicameral,,https://bicameral.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Selfr,,https://selfr.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),MetaLearner,"Get Answers to Your Questions in Minutes, Not Weeks",https://metalearner.ai,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Guepard,,https://guepard.io,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Greybeam,,https://greybeam.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Greaten AI,,https://greatenai.com,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),Fastyr,,https://fastyr.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Cyclick,,https://cyclick.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),CloudiDR,"Save up to 95% on Claude, OpenAI & Gemini. Hard budget limits. Auto-block requests. 2 lines of code. Free forever.",https://cloudidr.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),AtlasNova,Restaurant solutions powered by AtlasNova AI,https://atlasnova.ai,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),ReneuBio,Restoring the Aging Brain’s Ability to Heal,https://reneubio.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Waypoint AI,,https://waypointai.com,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),Vanellus Technologies Ltd,,https://skydeck.berkeley.edu/companies/vanellus-technologies-ltd/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Vambe,"Automatiza conversaciones, optimiza anuncios y conecta sistemas con IA. Miles de empresas confían en Vambe para crecer con inteligencia artificial.",https://vambe.ai,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Tutti,,https://tutti.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),"TLR Therapeutics, Inc.",,https://skydeck.berkeley.edu/companies/tlr-therapeutics-inc/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Techstack,All TechStack territories from Wave 1 have been claimed. Join the priority waitlist to get first access when we open the next round of exclusive AI service territories for agency owners.,https://techstack.com,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),Taltrics,,https://skydeck.berkeley.edu/companies/taltrics/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Trener Robotics,,https://trenerrobotics.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Sincidium,,https://skydeck.berkeley.edu/companies/sincidium/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),"PropulsionAI, Inc.",,https://skydeck.berkeley.edu/companies/propulsionai-inc/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Partner Element,Maximize procurement value through early involvement. Partner Element is an AI-powered collaboration platform for procurement teams. We provide early visibility into potential purchases giving procurement time to act.,https://partnerelement.com,True,0.4,Berkeley SkyDeck
UC Berkeley (SkyDeck),Mycro Harvest,"Mycro Harvest's AI-powered control systems improve yield and reduce costs in mushroom production for low-carbon foods, bioplastics, meat alternatives, and more.",https://mycroharvest.com,True,0.4,Berkeley SkyDeck
UC Berkeley (SkyDeck),"MuscleMatrix, Inc.",,https://skydeck.berkeley.edu/companies/musclematrix-inc/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Jellie AI,"Jellie automates candidate sourcing, talent marketing, data enrichment, and outreach for staffing agencies. One platform. More placements. Less busywork.",https://jellieai.com,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),Forelight.ai (Ween.ai),,https://skydeck.berkeley.edu/companies/forelight-ai-ween-ai/,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),FirstRead,"First Read: Your Daily First Stop For Sports and Entertainment Be the first read! Sign up for exclusive updates on newly released stories, videos and giveaways — delivered straight to your inbox! Latest Articles San Francisco 49ers 2025 Draft Wishlist Draft,NFL Every draft season there’s a conversion of thoughts surrounding every NFL team and what […]",https://firstread.co,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Deeli AI,,https://skydeck.berkeley.edu/companies/deeli-ai/,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),ContextQA,"QA new code 10Xfaster with the only context-aware AI testing platform. ContextQA uses agentic AI to predict, generate tests, and validate every release.",https://contextqa.com,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),Congrify,,https://skydeck.berkeley.edu/companies/congrify/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),"Blocq, Inc.",Comprehensive quantum security service that detects and resolves security risks using quantum computers on customer systems We are the world's first to realize the service B. on blockchain.,https://blocqinc.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),ASO Therapeutics,We're under construction.Please check back for an update soon.,https://asotherapeutics.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),ALKEMIO,Alkemio develops modular systems for rare earth separation that work across diverse input streamsâfrom ore to wasteâwithout relying on centralized infrastructure. Our solution delivers high-purity recovery with reduced environmental impact.,https://alkemio.tech,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Aura,"Aura protects your identity, finances and sensitive data. All plans include a $1M insurance policy that covers eligible losses. Try Aura 14-days free.",https://aura.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Bungee Tech,"ClearDemand retail product pricing software helps retailers optimize prices, boost profits, and stay competitive with smart pricing solutions. Book a demo!",https://bungeetech.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Offi,"A diversely unique collection of products that challenge traditional furniture categories and created new ones. Offi products are created to be multifunctional, comfortable, and at home in any modern home in the world.",https://offi.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Rock Rabbit,,https://rockrabbit.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),ReRx,"Skip the Trip! Take our eye exam online. Renew your prescription online with our vision test for contacts, similar to the eye exam at your doctor's office, but in 15 minutes and from the comfort of your home.",https://rerx.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),ReframeAI,"Access the most comprehensive source of government contact data and procurement intelligence. Reframe's AI Agents act as virtual assistants, enabling custom workflows that seamlessly integrate with your team. Revolutionize your approach to government RFPs, contracts, and bids with data-driven insights and automated processes.",https://reframeai.app,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),Plaid Semiconductors,,https://skydeck.berkeley.edu/companies/plaid-semiconductors/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Pickaxe,"We help executives in marketing, product, engineering, and analytics build the AI powered future with automated insights and custom solutions designed for you.",https://pickaxe.ai,True,0.4,Berkeley SkyDeck
UC Berkeley (SkyDeck),Ozaru,"Ozaru is a Hong Kong agency that designs, builds, and markets digital products for brands across Asia Pacific. 10+ years, 200+ projects.",https://ozaru.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Olfera,,https://skydeck.berkeley.edu/companies/olfera/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),NeuroAge Therapeutics,,https://skydeck.berkeley.edu/companies/neuroage-therapeutics/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),"MyMagic, Inc.",,https://skydeck.berkeley.edu/companies/mymagic-inc/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),DeepSeq.AI,deepseqai.com is your first and best source for information about deepseqai. Here you will also find topics relating to issues of general interest. We hope you find what you are looking for!,https://deepseqai.com,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),CoGrader,Save 80% of the time grading essays and open ended questions and get instant feedback on your students' assignments.,https://cograder.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Cerevox,,https://cerevox.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Bitskout,"Extract data from documents, invoices, contracts, and bank statements to your tools like monday.com without any coding or technicalities.",https://bitskout.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Bennudata Inc.,,https://skydeck.berkeley.edu/companies/bennudata-inc/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Allos AI,"Run your social media and customer conversations with autonomous AI Agents. Create, publish, support, and scale — all from one platform. Start free.",https://allosai.com,True,0.4,Berkeley SkyDeck
UC Berkeley (SkyDeck),Algorized,"Algorized develops people-sensing edge-AI foundational model for human machine interaction leveraging wireless sensors (UWB, mmWave, Wi-Fi) and sensor fusion",https://algorized.com,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),SUPPLAI,,https://supplai.co,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Plino,"ContabilitÃ , Finanza e Controllo di gestione con lâIntelligenza Artificiale",https://plino.ai,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Ochy,,https://ochy.ai,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Mon5 s.r.l.,,https://skydeck.berkeley.edu/companies/mon5-s-r-l/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Klaaryo,"Klaaryo ti permette di gestire in automatico e con la massima semplicitÃ  candidati e dipendenti. â¨Lâintegrazione con ATS e HCM riduce tempi e costi, e trasforma le conversazioni in insight azionabili.",https://klaaryo.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Kfobix Inc.,,https://skydeck.berkeley.edu/companies/kfobix-inc/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),INRŌ,"For more than25 years, Telepathy has provided compelling, memorable identities to companies across the globe who are shaping our tomorrow. Telepathy offers a curated collection ofresonant domain nameswith strong brand appeal.",https://inr.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Distinkt,Unleash Your Brand’s Potential with Distinkt Studios:,https://distinkt.io,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Audemic Ltd,,https://skydeck.berkeley.edu/companies/audemic-ltd/,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Skyld,"Download premium motion graphics templates, video assets, and AI tools for creators. Subscribe for unlimited access to professional After Effects templates, graphics, and design resources.",https://skyld.com,True,0.2,Berkeley SkyDeck
UC Berkeley (SkyDeck),Silica Corpora,,https://silicacorpora.com,False,0.0,Berkeley SkyDeck
UC Berkeley (SkyDeck),Sefi AI,,https://sefiai.com,True,0.2,Berkeley SkyDeck
