startup_name,description,website,founding_date,location,funding_stage,funding_amount,investors,team_size,founders,linkedin,twitter,contact_email,source,is_ai_related,ai_confidence_score,scraped_date
Cuanto,Building the operating system for Latin America's internet creators,https://www.cuanto.app,,"Panama City, Panama, Panama; Remote",Winter 2019,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Pronto,Ride-sharing for second-tier cities in Latin America.,http://www.tuprontomx.com/,,"Mexico City, CDMX, Mexico",Winter 2019,,Y Combinator,62.0,,,,,Y Combinator,False,0.0,
Pulse Active Stations Network,We are a connected network of smart health machines in India.,http://www.getpulse.in/,,India,Winter 2019,,Y Combinator,10.0,,,,,Y Combinator,False,0.0,
Cityfurnish,Cityfurnish - Commitment-free furniture rentals for a better you!,https://cityfurnish.com/,,"New Delhi, DL, India",Winter 2019,,Y Combinator,90.0,,,,,Y Combinator,False,0.0,
Glide,"Glide turns spreadsheets into beautiful, intelligent apps.",https://www.glideapps.com,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,46.0,,,,,Y Combinator,False,0.0,
Lezzoo,Lezzoo is an on-demand delivery Superapp for Iraq. ,https://lezzoo.com,,"Erbil, Kurdistan Region, Iraq",Winter 2019,,Y Combinator,190.0,,,,,Y Combinator,False,0.0,
Emi Labs,"Helping great teams hire better frontline workers, faster.",https://www.emilabs.ai,,"Buenos Aires, CABA, Argentina; Remote",Winter 2019,,Y Combinator,50.0,,,,,Y Combinator,False,0.0,
Bentocart,Last-mile delivery for perishables.,https://www.bentocart.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Spring in Africa,Investing in innovation ,https://springinafrica.com,,"LA, Nigeria; Remote",Winter 2019,,Y Combinator,,,,,,Y Combinator,False,0.0,
CredPal,CredPal is a buy now pay later company in Africa that allows…,https://credpal.com,,"Lagos, LA, Nigeria; LA, Nigeria",Winter 2019,,Y Combinator,35.0,,,,,Y Combinator,False,0.0,
Exly,"One stop shop for creators to launch, manage & grow their knowledge…",https://exlyapp.com/,,"New Delhi, DL, India",Winter 2019,,Y Combinator,95.0,,,,,Y Combinator,False,0.0,
Keynua,E-signatures with identity verification for Latin America,https://www.keynua.com,,"Lima, Callao Region, Peru; Lima, Lima Province, Peru; Remote",Winter 2019,,Y Combinator,15.0,,,,,Y Combinator,False,0.0,
Edyst,Edyst is a peer-to-peer online learning platform where students learn…,https://edyst.com,,"Hyderabad, Telangana, India",Winter 2019,,Y Combinator,11.0,,,,,Y Combinator,False,0.0,
AccioJob,Upskilling bootcamp for India,http://www.acciojob.com,,"Gurugram, HR, India",Winter 2019,,Y Combinator,250.0,,,,,Y Combinator,False,0.0,
NALA,Building Payments for the Next Billion.,http://nala.com,,"New York, NY, USA",Winter 2019,,Y Combinator,168.0,,,,,Y Combinator,False,0.0,
Mudrex,India's largest crypto investing paltform,https://mudrex.com,,"Mountain View, CA, USA",Winter 2019,,Y Combinator,11.0,,,,,Y Combinator,False,0.0,
Skill-lync,Online engineering college for India. Learn technical skills & get…,http://skill-lync.com,,"Chennai, TN, India",Winter 2019,,Y Combinator,3000.0,,,,,Y Combinator,False,0.0,
Endpoint Health,Precision-first therapies,https://endpointhealth.com/,,"Palo Alto, CA, USA; Remote",Winter 2019,,Y Combinator,23.0,,,,,Y Combinator,False,0.0,
AmpUp,We make EV charging as simple and reliable as LED lights,https://ampup.io,,"Cupertino, CA, USA",Winter 2019,,Y Combinator,45.0,,,,,Y Combinator,False,0.0,
XGenomes,XGenomes is building the sequencing technology of the future. ,http://www.xgenomes.com,,"Cambridge, MA, USA",Winter 2019,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Alpaca,API-first stock and crypto brokerage platform,https://alpaca.markets/,,"San Mateo, CA, USA; Remote",Winter 2019,,Y Combinator,150.0,,,,,Y Combinator,False,0.0,
Maple Materials,We turn CO2 into battery-grade graphite and oxygen.,http://maplematerials.com,,"Richmond, CA, USA",Winter 2019,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Upsolve,Helping low-income Americans overcome debt and rebuild credit at…,https://upsolve.org/learn/should-i-file-for-chapter-7-bankruptcy/,,"New York, NY, USA",Winter 2019,,Y Combinator,12.0,,,,,Y Combinator,False,0.0,
Our World in Data,Research and data to make progress against the world’s largest…,https://ourworldindata.org/,,"Oxford, England, United Kingdom; Remote",Winter 2019,,Y Combinator,19.0,,,,,Y Combinator,False,0.0,
Dagger,Develop your CI/CD pipelines as code and run them anywhere,https://dagger.io,,"San Francisco, CA, USA; London, England, United Kingdom; Seattle, WA, USA; Portland, OR, USA; Boulder, CO, USA; Lyon, Auvergne-Rhône-Alpes, France; Buenos Aires, CABA, Argentina; Bogotá, Bogota, Colombia; Vancouver, WA, USA; Montevideo, Montevideo Department, Uruguay; Ponta Delgada, Azores, Portugal; Remote",Winter 2019,,Y Combinator,22.0,,,,,Y Combinator,False,0.0,
Superb AI,Superb AI provides end-to-end computer vision MLOps platform,https://www.superb-ai.com,,"San Mateo, CA, USA",Winter 2019,,Y Combinator,65.0,,,,,Y Combinator,True,0.4,
Heart Aerospace,Heart makes electric airplanes with an all-electric range of 250 miles,http://www.heartaerospace.com,,"Los Angeles, CA, USA",Winter 2019,,Y Combinator,50.0,,,,,Y Combinator,False,0.0,
Reelables,The Future of Supply Chain Data Tracking and Visibility,http://reelables.com,,,Winter 2019,,Y Combinator,0.0,,,,,Y Combinator,False,0.0,
"Volta Labs, Inc.",Unlocking the utility of genomics for the world.,http://voltalabs.com,,"Cambridge, MA, USA",Winter 2019,,Y Combinator,50.0,,,,,Y Combinator,False,0.0,
JetPack Aviation,Flying motorcycles,http://www.jetpackaviation.com,,"Los Angeles, CA, USA",Winter 2019,,Y Combinator,9.0,,,,,Y Combinator,False,0.0,
Valo,Cutting edge hydrofoil systems for boatbuilders,http://ridevalo.com,,"Alameda, CA, USA",Winter 2019,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Wanderlog,"Travel planner for researching, organizing, and mapping your trip",https://wanderlog.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
Aura Vision,Visitor analytics for physical retail stores using existing security…,https://auravision.ai,,"London, England, United Kingdom",Winter 2019,,Y Combinator,10.0,,,,,Y Combinator,True,0.2,
Instapath Inc.,We built the world's first automated digital pathology lab.,http://instapathbio.com,,"Houston, TX, USA",Winter 2019,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Caribou,Full-stack Transfer Pricing for global startups,https://usecaribou.com,,"London, England, United Kingdom",Winter 2019,,Y Combinator,13.0,,,,,Y Combinator,False,0.0,
Ravn,Ravn is building a heads-up display for soldiers.,https://ravn.com/,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,10.0,,,,,Y Combinator,False,0.0,
Doppler,Secure secrets. Prevent breaches. Keep teams moving.,https://doppler.com,,Remote,Winter 2019,,Y Combinator,25.0,,,,,Y Combinator,False,0.0,
PNOĒ,Enabling health professionals to prescribe clinical-grade wellness…,,,"Athens, Greece; Miami, FL, USA",Winter 2019,,Y Combinator,70.0,,,,,Y Combinator,False,0.0,
Gordian Software,Building software to remove friction in travel,https://www.gordiansoftware.com/,,"Bellevue, WA, USA",Winter 2019,,Y Combinator,30.0,,,,,Y Combinator,False,0.0,
Pyxai,An assessment tool that evaluates people to predict future success,https://www.pyxai.com,,"Boston, MA, USA; Remote",Winter 2019,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
Autodial prev Qwest,Skip Busy Phone Lines,https://www.autodial.com,,"Miami, FL, USA; Remote",Winter 2019,,Y Combinator,1.0,,,,,Y Combinator,False,0.0,
Landed,Generative AI for frontline worker hiring,https://www.gotlanded.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,50.0,,,,,Y Combinator,True,0.55,
Intact Therapeutics,Smart gels for local drug delivery to the gut,http://www.intacttherapeutics.com,,"Palo Alto, CA, USA; Los Altos, CA, USA",Winter 2019,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Mobot,Mobot is a QA-as-a-service platform using actual mechanical robots,https://www.mobot.io,,"New York, NY, USA",Winter 2019,,Y Combinator,40.0,,,,,Y Combinator,False,0.0,
Excepgen,,http://www.excepgen.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Handle.com,Simplifying Payments and Compliance for Construction Suppliers,https://www.handle.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,55.0,,,,,Y Combinator,False,0.0,
Bunkerhill Health,Bunkerhill Health is building the system of action for health systems,http://bunkerhillhealth.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,30.0,,,,,Y Combinator,False,0.0,
Termius,Termius is an SSH client with team collaboration features,https://termius.com,,,Winter 2019,,Y Combinator,35.0,,,,,Y Combinator,False,0.0,
Supernova,Design system platform joins developers and designers together,https://supernova.io,,"Prague, Prague, Czechia",Winter 2019,,Y Combinator,20.0,,,,,Y Combinator,False,0.0,
Probably Genetic,Patient Intelligence Platform for Genetic Disease ,https://www.probablygenetic.com/,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,20.0,,,,,Y Combinator,False,0.0,
Ashby,All-in-one recruiting platform that empowers hiring excellence in…,https://www.ashbyhq.com,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,110.0,,,,,Y Combinator,False,0.0,
Okteto,Cloud Development Environments with one click,https://okteto.com,,"San Francisco, CA, USA; Denver, CO, USA; Madrid, Community of Madrid, Spain; Buenos Aires, CABA, Argentina; Remote",Winter 2019,,Y Combinator,30.0,,,,,Y Combinator,False,0.0,
Bensen,Online and phone ordering for restaurant takeout and delivery,http://www.bensen.ai,,"Boston, MA, USA",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Switchboard,Technology for Trucking,https://www.onswitchboard.com,,"Vancouver, BC, Canada",Winter 2019,,Y Combinator,24.0,,,,,Y Combinator,False,0.0,
AI Insurance,AI Insurance is the platform that runs insurance companies,https://www.aiinsurance.io,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,16.0,,,,,Y Combinator,True,0.2,
Demodesk,AI-powered sales coaching,https://demodesk.com,,"Munich, BY, Germany",Winter 2019,,Y Combinator,25.0,,,,,Y Combinator,True,0.4,
Avo,Fixing data quality in product analytics.,https://www.avo.app/,,"San Francisco, CA, USA; Reykjavík, Iceland",Winter 2019,,Y Combinator,10.0,,,,,Y Combinator,True,0.2,
Nabis,Nabis is the largest licensed cannabis wholesale platform.,https://www.nabis.com/,,"San Francisco, CA, USA; Los Angeles, CA, USA; New York, NY, USA",Winter 2019,,Y Combinator,300.0,,,,,Y Combinator,False,0.0,
Sapling.ai,Language models for enterprise applications.,https://sapling.ai,,"San Francisco, CA, USA; Los Angeles, CA, USA",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
WeatherCheck,WeatherCheck monitors properties for hail damage so that insurance…,https://www.weathercheck.co/,,"Louisville, KY, USA",Winter 2019,,Y Combinator,10.0,,,,,Y Combinator,False,0.0,
Community Phone Company,The best phone for communities in America,https://www.communityphone.org/,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,70.0,,,,,Y Combinator,False,0.0,
Thrive Agric,"ThriveAgric help Farmers in Africa access finance, insight and Markets",https://www.thriveagric.com/,,"Abuja, Federal Capital Territory, Nigeria",Winter 2019,,Y Combinator,227.0,,,,,Y Combinator,False,0.0,
Tailornova/Couturme,AI for Instantly Manufacturable Fashion,http://patternfast.com,,"San Mateo, CA, USA; Remote",Winter 2019,,Y Combinator,9.0,,,,,Y Combinator,True,0.2,
GoLinks,"Intuitive, easy-to-remember short links - powered by AI.",https://www.golinks.io,,"San Jose, CA, USA; Remote",Winter 2019,,Y Combinator,70.0,,,,,Y Combinator,True,0.2,
Middesk,We make it easier for B2B companies to transact with one another,http://www.middesk.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,130.0,,,,,Y Combinator,False,0.0,
Windwalk,"Windwalk is the industry leader in building, growing, and operating…",windwalk.com,,"Austin, TX, USA; San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,25.0,,,,,Y Combinator,False,0.0,
LEAH Labs,"Living therapies for pets first, and their people next",http://www.leahlabs.com,,"Minneapolis, MN, USA",Winter 2019,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
MedCrypt,MedCrypt gives medical device vendors cybersecurity features in a few…,https://www.medcrypt.co,,"San Diego, CA, USA",Winter 2019,,Y Combinator,16.0,,,,,Y Combinator,False,0.0,
BrainKey,Brain Longevity,https://www.brainkey.ai/,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,20.0,,,,,Y Combinator,False,0.0,
Hatch,The AI CSR Platform,http://usehatch.ai,,"Richmond, VA, USA; Remote",Winter 2019,,Y Combinator,73.0,,,,,Y Combinator,True,0.2,
FLOWER CO.,FLOWER CO. sells weed on the internet.,https://flowercompany.com,,"Los Angeles, CA, USA",Winter 2019,,Y Combinator,30.0,,,,,Y Combinator,False,0.0,
Postscript,The SMS revenue platform for e-commerce merchants,https://postscript.io,,"Phoenix, AZ, USA; Remote",Winter 2019,,Y Combinator,180.0,,,,,Y Combinator,False,0.0,
Nebullam (DBA Clayton Farms),"We put farms inside restaurants, so customers get healthier food and…",http://ClaytonFarms.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
SciTok,Platform for scientists to share their research via videos,https://www.scitok.com,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Dyneti Technologies,Reduce payment fraud,http://www.dyneti.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Sorting Robotics,We create automation technology for the cannabis industry.,https://www.sortingrobotics.com/,,"Los Angeles, CA, USA",Winter 2019,,Y Combinator,12.0,,,,,Y Combinator,True,0.2,
Convictional,Convictional is reinventing business operations,https://convictional.com,,"Toronto, ON, Canada; Remote",Winter 2019,,Y Combinator,13.0,,,,,Y Combinator,False,0.0,
Sunsama,Daily planner for busy professionals,https://sunsama.com,,"Kailua, HI, USA; Oakland, CA, USA; Remote",Winter 2019,,Y Combinator,7.0,,,,,Y Combinator,False,0.0,
Spire Law,Tech enabled business and employment litigation law firm.,https://spirelawfirm.com/,,"Orlando, FL, USA",Winter 2019,,Y Combinator,10.0,,,,,Y Combinator,False,0.0,
Centaur,Quality-first data labeling for model evaluation and training,https://centaur.ai/,,"Boston, MA, USA",Winter 2019,,Y Combinator,45.0,,,,,Y Combinator,False,0.0,
Ultralight,"Universal, Pure-GPU HTML Renderer",https://ultralig.ht,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,1.0,,,,,Y Combinator,False,0.0,
Bottomless,Building the first sensor enabled marketplace for repeat purchases,https://bottomless.com,,"Seattle, WA, USA",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Kalshi,1st federally regulated exchange where people can trade on events,https://www.kalshi.com,,"New York, NY, USA",Winter 2019,,Y Combinator,100.0,,,,,Y Combinator,False,0.0,
Keeper,AI tax filing for complex returns,https://keepertax.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,21.0,,,,,Y Combinator,True,0.2,
AllSome Fulfillment,Fulfillment platform to build Southeast Asia e-commerce operations,https://www.allsome.com,,"Shenzhen, Guangdong, China; Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia; Shah Alam, Selangor, Malaysia; Remote",Winter 2019,,Y Combinator,18.0,,,,,Y Combinator,False,0.0,
Positive,B2B supplier of fresh/healthy packaged food,https://www.positive.co,,"Los Angeles, CA, USA",Winter 2019,,Y Combinator,47.0,,,,,Y Combinator,False,0.0,
The Juggernaut,The global community for the South Asia-curious,https://www.thejuggernaut.com/,,"New York, NY, USA",Winter 2019,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
Canopy (was Encarte),Encarte is building 1-click checkout for all online stores.,https://www.heycanopy.com/,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Parker,Parker is a digital bank.,https://www.getparker.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,10.0,,,,,Y Combinator,False,0.0,
Intelline,Intelline makes the world's most efficient fuel agnostic engines for…,https://www.intelline.ca/,,"Waterloo, ON, Canada",Winter 2019,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Flockjay,"AI-driven learning, content, and coaching for sales teams",https://flockjay.com,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,10.0,,,,,Y Combinator,True,0.4,
Trexo Robotics,"Exoskeletons to help people walk, starting with children",http://trexorobotics.com,,"Toronto, ON, Canada",Winter 2019,,Y Combinator,30.0,,,,,Y Combinator,False,0.0,
Taobotics,Autonomous robots for retails. ,http://www.taobotics.com,,"Shenzhen, Guangdong, China",Winter 2019,,Y Combinator,11.0,,,,,Y Combinator,True,0.2,
Overview,"Reshaping industrial quality with AI, hardware, and software",https://overview.ai,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,40.0,,,,,Y Combinator,True,0.2,
Searchlight,Talent AI improving quality of hire,https://www.searchlight.ai/,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,20.0,,,,,Y Combinator,True,0.2,
ZeroDown,Find beautiful homes,https://zerodown.com/,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,13.0,,,,,Y Combinator,False,0.0,
Balto,Acquired by FuboTV (NYSE: FUBO) - Contest automation software…,http://playbalto.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,5.0,,,,,Y Combinator,True,0.2,
Catch,Benefits for independent workers.,http://www.catch.co,,"New York, NY, USA",Winter 2019,,Y Combinator,18.0,,,,,Y Combinator,False,0.0,
Memfault,"First IoT reliability platform for debugging, monitoring, OTA updates",https://memfault.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,80.0,,,,,Y Combinator,False,0.0,
Accept.inc (formerly BoardRE),BoardRE is a new type of mortgage company that upgrades any offer…,http://www.accept.inc,,"Denver, CO, USA",Winter 2019,,Y Combinator,80.0,,,,,Y Combinator,False,0.0,
WorkClout,Safety & quality software for industrial sectors. ,https://www.workclout.com,,"Los Angeles, CA, USA",Winter 2019,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Allure Systems,A.I. to create stunning fashion images for eCommerce. ,http://www.alluresystems.com/,,"New York, NY, USA",Winter 2019,,Y Combinator,18.0,,,,,Y Combinator,False,0.0,
AXDRAFT,"AXDRAFT helps corporations draft, negotiate and approve documents 10x…",https://axdraft.com,,"Kyiv, Ukraine; Frankfurt, HE, Germany; Lviv, Lviv Oblast, Ukraine",Winter 2019,,Y Combinator,34.0,,,,,Y Combinator,False,0.0,
Kovi,"Making car ownership more inclusive, flexible and simple.",https://www.kovi.com.br,,"São Paulo, SP, Brazil",Winter 2019,,Y Combinator,890.0,,,,,Y Combinator,False,0.0,
Shiok Meats,"Shiok Meats is a cell-based clean shrimp company, the first of its…",http://www.shiokmeats.com,,"Singapore, Singapore",Winter 2019,,Y Combinator,9.0,,,,,Y Combinator,False,0.0,
Slapdash,Work at the speed of thought,http://slapdash.com,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Seawise Capital,Trade finance company for Indian exporters,https://www.seawisecapital.com,,"New Delhi, DL, India",Winter 2019,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Cocoon,Bring your most important groups closer together,http://cocoon.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Doorport,Acquired by Alarm.com - We make existing apartment access smart.,https://www.doorport.com,,"New York, NY, USA",Winter 2019,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Askdata,Frictionless Data,http://www.askdata.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,17.0,,,,,Y Combinator,False,0.0,
Elph,Acquired by Brex. Building digital payments infrastructure.,https://www.elph.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
Docbot,,https://www.docbot.co,,"Los Angeles, CA, USA",Winter 2019,,Y Combinator,0.0,,,,,Y Combinator,False,0.0,
Atomic Alchemy,We produce cancer-curing materials used in nuclear medicine.,https://atomicalchemy.us,,"Idaho Falls, ID, USA",Winter 2019,,Y Combinator,8.0,,,,,Y Combinator,False,0.0,
Visly,Build React components visually,https://visly.app,,Remote,Winter 2019,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Forage,"Online job simulations for companies to train, and then hire, students",https://www.theforage.com/,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,65.0,,,,,Y Combinator,False,0.0,
Coursedog,Higher Ed's Best Friend - integrated academic operations software.,http://coursedog.com,,"New York, NY, USA; Remote",Winter 2019,,Y Combinator,100.0,,,,,Y Combinator,False,0.0,
Convex,Software for the commercial services industry. ,https://www.convex.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,110.0,,,,,Y Combinator,False,0.0,
Ascen,EOR for the staffing industry,https://ascen.com,,"Boston, MA, USA; Remote",Winter 2019,,Y Combinator,17.0,,,,,Y Combinator,False,0.0,
Windsor,AI Powered Personalized Videos,https://windsor.io,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,5.0,,,,,Y Combinator,True,0.2,
Preflight,No-code Web Apps testing for everyone,http://preflight.com,,"Chicago, IL, USA; Remote",Winter 2019,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
InterPrime,Safe & Secure Cash Management for Businesses,https://www.interprime.co/,,"Menlo Park, CA, USA",Winter 2019,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Insight,The first extensible browser for iOS,https://www.insightbrowser.com,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Pachama,Restoring nature to solve climate change.,http://pachama.com,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,85.0,,,,,Y Combinator,False,0.0,
Geosite,Geosite is an enterprise SaaS platform for spatial data.,https://www.geosite.io/,,"Palo Alto, CA, USA; Remote",Winter 2019,,Y Combinator,40.0,,,,,Y Combinator,False,0.0,
ZeroStorefront,#1 Data platform for restaurants. Acquired by Thanx,http://www.zerostorefront.com,,"San Mateo, CA, USA; Remote",Winter 2019,,Y Combinator,7.0,,,,,Y Combinator,False,0.0,
Fuzzbuzz,Fuzzing as a Service,,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,,,,,,Y Combinator,False,0.0,
