startup_name,batch,source,is_stealth_mode,stealth_indicators,data_completeness_score,website,page_title,contact_email,description,is_ai_related,ai_confidence_score,linkedin,twitter,github
Taltrics,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
T-robotics,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://trobotics.ai,,,,,,,,
Sincidium,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
"PropulsionAI, Inc.",Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Partner Element,Unknown,Berkeley SkyDeck,False,no_social_media,0.55,https://partnerelement.com,Partner Element,,Maximize procurement value through early involvement. Partner Element is an AI-powered collaboration platform for procurement teams. We provide early visibility into potential purchases giving procurement time to act.,True,0.4,,,
Mycro Harvest,Unknown,Berkeley SkyDeck,False,no_social_media,0.55,https://mycroharvest.com,Home | Mycro Harvest - AI-Powered Mushroom Farms,,"Mycro Harvest's AI-powered control systems improve yield and reduce costs in mushroom production for low-carbon foods, bioplastics, meat alternatives, and more.",True,0.4,,,
"MuscleMatrix, Inc.",Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Jellie AI,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://jellieai.com,Jellie AI | Candidate Database for Recruiting Agencies,,,,,,,
Forelight.ai (Ween.ai),Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
FirstRead,Unknown,Berkeley SkyDeck,False,,0.65,https://firstread.co,Home - First Read,,"First Read: Your Daily First Stop For Sports and Entertainment Be the first read! Sign up for exclusive updates on newly released stories, videos and giveaways — delivered straight to your inbox! Latest Articles San Francisco 49ers 2025 Draft Wishlist Draft,NFL Every draft season there’s a conversion of thoughts surrounding every NFL team and what […]",False,0.0,,https://x.com/firstread_,
Deeli AI,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
ContextQA,Unknown,Berkeley SkyDeck,False,,0.8,https://contextqa.com,"Context-Aware AI Testing Platform for Faster, Smarter Release | ContextQA",sales@contextqa.com,"QA new code 10Xfaster with the only context-aware AI testing platform. ContextQA uses agentic AI to predict, generate tests, and validate every release.",True,0.2,https://www.linkedin.com/company/contextqa-test-automation-platform/,,
Congrify,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
"Blocq, Inc.",Unknown,Berkeley SkyDeck,False,no_social_media,0.55,https://blocqinc.com,"BlocQ, lnc.",,Comprehensive quantum security service that detects and resolves security risks using quantum computers on customer systems We are the world's first to realize the service B. on blockchain.,False,0.0,,,
ASO Therapeutics,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
ALKEMIO,Unknown,Berkeley SkyDeck,False,,0.8,https://alkemio.tech,Alkemio | Modular & Sustainable Rare Earths Refining,info@alkemio.bio,Alkemio develops modular systems for rare earth separation that work across diverse input streamsâfrom ore to wasteâwithout relying on centralized infrastructure. Our solution delivers high-purity recovery with reduced environmental impact.,False,0.0,https://linkedin.com/company/alkemio-technologies/,,
Aura,Unknown,Berkeley SkyDeck,False,,0.9,https://aura.com,Aura | Intelligent Digital Safety for the Whole Family,alex.garcia@aura.com,"Aura protects your identity, finances and sensitive data. All plans include a $1M insurance policy that covers eligible losses. Try Aura 14-days free.",False,0.0,https://www.linkedin.com/company/auracompany/,https://twitter.com/Aura_Protects,
Bungee Tech,Unknown,Berkeley SkyDeck,False,,0.8,https://bungeetech.com,Retail Product Pricing Software & Optimization Solutions,Mask-Group-92022@2x-1.png,"ClearDemand retail product pricing software helps retailers optimize prices, boost profits, and stay competitive with smart pricing solutions. Book a demo!",False,0.0,https://www.linkedin.com/company/clear-demand,,
Offi,Unknown,Berkeley SkyDeck,False,no_social_media,0.55,https://offi.com,Offi & Co.,,"A diversely unique collection of products that challenge traditional furniture categories and created new ones. Offi products are created to be multifunctional, comfortable, and at home in any modern home in the world.",False,0.0,,,
Rock Rabbit,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://rockrabbit.com,,,,,,,,
ReRx,Unknown,Berkeley SkyDeck,False,,0.65,https://rerx.com,Online Vision Test & Eye Exam | Glasses & Contacts | Lens.com,,"Skip the Trip! Take our eye exam online. Renew your prescription online with our vision test for contacts, similar to the eye exam at your doctor's office, but in 15 minutes and from the comfort of your home.",False,0.0,,https://twitter.com/lens,
ReframeAI,Unknown,Berkeley SkyDeck,False,,0.8,https://reframeai.app,Reframe - AI-Powered Government Procurement Intelligence & Contact Data,info@reframe.is,"Access the most comprehensive source of government contact data and procurement intelligence. Reframe's AI Agents act as virtual assistants, enabling custom workflows that seamlessly integrate with your team. Revolutionize your approach to government RFPs, contracts, and bids with data-driven insights and automated processes.",True,0.2,https://www.linkedin.com/company/reframeai-app,,https://github.com/peterwnjenga/aigent
Plaid Semiconductors,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Pickaxe,Unknown,Berkeley SkyDeck,False,,0.75,https://pickaxe.io,"Pickaxe | Crypto Mining Equipment, Hosting & Education",info@pickaxe.io,"Own, deploy, and understand crypto mining equipment. Professional hosting, hardware marketplace, AI-powered education, and real-time tools for miners.",True,0.4,,https://twitter.com/pickaxe_mining,
Ozaru,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://ozaru.ai,,,,,,,,
Olfera,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
NeuroAge Therapeutics,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
"MyMagic, Inc.",Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
DeepSeq.AI,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://deepseqai.com,,,,,,,,
CoGrader,Unknown,Berkeley SkyDeck,False,,0.9,https://cograder.com,"CoGrader | AI Essay Grader | Spend Less Time Grading, More Time Teaching",privacy@cograder.com,Save 80% of the time grading essays and open ended questions and get instant feedback on your students' assignments.,False,0.0,https://www.linkedin.com/company/cograder/?,https://twitter.com/cograder,
Cerevox,Unknown,Berkeley SkyDeck,False,no_social_media,0.55,https://cerevox.ai,Cerevox | The Data Layer,,Turns files into clean context for LLMs,False,0.0,,,
Bitskout,Unknown,Berkeley SkyDeck,False,,0.9,https://bitskout.com,"Document Extraction for monday.com, Make, Zapier, Power Automate | Bitskout",contact@bitskout.com,"Extract data from documents, invoices, contracts, and bank statements to your tools like monday.com without any coding or technicalities.",False,0.0,https://www.linkedin.com/company/bitskout/,https://www.twitter.com/bitskout,
Bennudata Inc.,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Allos AI,Unknown,Berkeley SkyDeck,False,no_social_media,0.65,https://allosai.com,AllosAI — AI Agents for Social Media & Customer Support,cropped-Element-12@2x.png,"Run your social media and customer conversations with autonomous AI Agents. Create, publish, support, and scale — all from one platform. Start free.",True,0.4,,,
Algorized,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
SUPPLAI,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://supplai.co,,,,,,,,
Plino,Unknown,Berkeley SkyDeck,False,,0.8,https://plino.ai,Plino,info@plino.ai,"ContabilitÃ , Finanza e Controllo di gestione con lâIntelligenza Artificiale",False,0.0,https://www.linkedin.com/company/plino-ai/,,
Ochy,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Mon5 s.r.l.,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Klaaryo,Unknown,Berkeley SkyDeck,False,,0.7,https://klaaryo.com,Klaaryo: il software per la selezione del personale via Whatsapp,,Klaaryo Ã¨ il software di recruiting conversazionale integrato con Whatsapp che utilizza lâintelligenza artificiale per automatizzare e ottimizzare il processo di assunzione per ruoli ad alto volume.,False,0.0,https://www.linkedin.com/company/klaaryo/posts/?feedView=all,,
Kfobix Inc.,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
INRŌ,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Distinkt,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Audemic Ltd,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Skyld,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Silica Corpora,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Sefi AI,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
RebX,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Gisens Biotech,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Fintellect,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
"Dowork Technologies, Inc.",Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Donaa Limited,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Alloccasions,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Typeless,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
SpeedLegal,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Profiter,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Pricer24,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Helean,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
FiveBrane,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Dedalo AI,Unknown,Berkeley SkyDeck,False,,0.7,https://dedaloai.com,Dedalo - Your Sustainable Solution,,Dedalo - Your Sustainable Solution,False,0.0,https://www.linkedin.com/company/dedaloai/,,
Cargoful,Unknown,Berkeley SkyDeck,True,"no_description, no_social_media",0.3,https://cargoful.com,,,,,,,,
Cambridge Nucleomics,Unknown,Berkeley SkyDeck,False,,0.8,https://cambridge-nucleomics.com,Cambridge Nucleomics,info@cambridge-nucleomics.com,RNA measurement made fast and easy at scale with single-molecule accuracy.,False,0.0,https://www.linkedin.com/company/cambridge-nucleomics/,,
BiomimX Srl,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
HopShop,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Quasara,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
HyLight,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Katakem,Unknown,Berkeley SkyDeck,False,,0.8,https://katakem.com,Katakem | Autonomous Chemistry,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Katakem builds robots to automate chemistry and help chemists make the future happen faster.,False,0.0,https://www.linkedin.com/company/katakem/,,
SWITCH,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
THEO,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Revizion,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Morelli Tech,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Traverse,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Titan AI,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Swift Charge,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Roger,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
re_data,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
"Otterz, Inc.",Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
NeuraStasis,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
MZR Neurotech,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Matta Labs Ltd,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
LQL,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Hyperable Corp.,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
GuardHash,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
GetMо,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
"Essence Labs, Inc.",Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Enkrypt AI,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Enerza Inc,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
El Dorado P2P,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Editpep,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
CYQIQ,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Converse Health,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Compiify,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
CarbonGraph,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
AsparaGlue,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Aiembodied,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
SmileyGo,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
VoiceBeam,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
SportsDynamics,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Socialtrait.ai,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Skills.tech,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
SirenOpt,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Rounded,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Red Arrow TX,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Okomera,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Milvia,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Manot,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Kurier,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Jacobi Robotics,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
HDAX Therapeutics,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Clearpol,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Alvva,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Dispatch Goods,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
zHealth,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Wave Photonics,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Taiga Robotics,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Rangeview,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Music Health,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
leadsales,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
kwikkart,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
InFLOWS AI,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Endometrics,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Drishya AI Labs Inc.,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Denovo Sciences,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Datalogz,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
Cyder Inc.,Unknown,Berkeley SkyDeck,True,"no_website, no_description, no_social_media, low_completeness",0.0,,,,,,,,,
