program_name,region,country,city,founded,investment_min,investment_max,currency,equity_pct_min,equity_pct_max,duration_months,focus_areas,website,portfolio_url,acceptance_rate,has_portfolio_page
Entrepreneur First,Europe,UK,London,2011,80000,80000,GBP,9,10,Varies,Deep tech AI ML,https://www.joinef.com/,,,Yes
Tech Nation,Europe,UK,London,2015,0,0,GBP,0,0,Varies,UK growth-stage tech,https://technation.io/,,,No
L Marks,Europe,UK,London,2012,20000,50000,GBP,Varies,Varies,3-6,Corporate partnerships,https://lmarks.com/,,,Yes
Surge,Asia,Singapore,Singapore,2019,1000000,2000000,USD,10,15,4,Southeast Asia India,https://www.surgeahead.com/,,,Yes
BRINC,Asia,Hong Kong,Hong Kong,2014,80000,100000,USD,6,8,4-6,Hardware IoT climate foodtech,https://brinc.io/,,,Yes
HAX,Asia,China,Shenzhen,2011,125000,125000,USD,6,8,6,Hardware robotics IoT,https://hax.co/,,,Yes
JFDI.Asia,Asia,Singapore,Singapore,2011,25000,25000,SGD,8,8,3.3,B2B SaaS fintech,http://jfdi.asia/,,,Yes
SparkLabs,Asia,South Korea,Seoul,2012,50000,150000,USD,4,7,3,Mobile cloud consumer enterprise,https://www.sparklabs.co.kr/,,,Yes
Alibaba Entrepreneur Fund,Asia,Hong Kong,Hong Kong,2015,100000,1000000,HKD,Varies,Varies,Varies,E-commerce retail fintech,https://aef.hk/,,,Yes
Innovate 360,Asia,Pakistan,Karachi,2016,2000000,5000000,PKR,Varies,Varies,6,Fintech edtech healthtech,https://www.innovate360.co/,,,Yes
Start-Up Chile,LATAM,Chile,Santiago,2010,15000,90000,USD,0,0,6,All sectors,https://www.startupchile.org/,,,Yes
NXTP Ventures,LATAM,Argentina,Buenos Aires,2011,30000,50000,USD,7,10,Varies,B2B SaaS fintech,https://www.nxtp.vc/,,,Yes
Parallel18,LATAM,Puerto Rico,San Juan,2016,40000,40000,USD,0,0,5,All sectors,https://parallel18.com/,,,Yes
Wayra,LATAM,Spain,Madrid,2011,50000,250000,EUR,Varies,Varies,Varies,Digital innovation telecom,https://www.wayra.com/,,,Yes
ALLVP,LATAM,Mexico,Mexico City,2012,250000,2000000,USD,Varies,Varies,Varies,B2B fintech SaaS,https://allvp.vc/,,,Yes
MassChallenge Mexico,LATAM,Mexico,Mexico City,2016,0,1000000,USD,0,0,4,All sectors healthtech,https://masschallenge.org/programs-mexico,,,No
Flat6Labs,MENA,Egypt,Cairo,2011,50000,200000,USD,10,15,4,All sectors fintech ecommerce,https://www.flat6labs.com/,,,Yes
AstroLabs,MENA,UAE,Dubai,2013,Varies,Varies,USD,Varies,Varies,Varies,Tech companies MENA entry,https://astrolabs.com/,,,Yes
Sheraa,MENA,UAE,Sharjah,2016,0,0,AED,0,0,6,UAE-based startups,https://sheraa.ae/,,,No
The Catalyst,MENA,Bahrain,Manama,2018,Varies,Varies,BHD,Varies,Varies,Varies,Fintech,https://www.the-catalyst.io/,,,Yes
Turn8,MENA,UAE,Abu Dhabi,2017,0,100000,USD,10,10,3-6,B2B SaaS enterprise deeptech,https://turn8.co/,,,Yes
Y Combinator Africa,Africa,Nigeria,Lagos,2005,500000,500000,USD,7,7,3,All sectors,https://www.ycombinator.com/,https://www.ycombinator.com/companies,,<2%,Yes
Grindstone Accelerator,Africa,South Africa,Cape Town,2017,150000,300000,ZAR,8,12,12,Tech fintech agritech healthtech,https://grindstoneaccelerator.co.za/,,,Yes
Ventures Platform,Africa,Nigeria,Lagos,2016,25000,100000,USD,Varies,Varies,Varies,Fintech ecommerce logistics,https://venturesplatform.com/,,,Yes
GreenHouse Capital,Africa,South Africa,Johannesburg,2007,Varies,Varies,ZAR,Varies,Varies,Varies,African tech all sectors,https://www.greenhousecapital.co.za/,,,Yes
iceaddis,Africa,Ethiopia,Addis Ababa,2011,0,0,ETB,0,0,Varies,Ethiopian tech ecosystem,https://iceaddis.com/,,,No
iHub,Africa,Kenya,Nairobi,2010,0,0,KES,0,0,Varies,Kenyan tech community,https://ihub.co.ke/,,,No
